"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,69,"Area L","ahec",296296,2.33,0.9855,0,0.029
2001,76,"Area L","ahec",296584,2.56,0.9868,0,0.0263
2002,75,"Area L","ahec",298557,2.51,0.9867,0,0.0267
2003,79,"Area L","ahec",300530,2.63,0.9873,0,0.0253
2004,85,"Area L","ahec",299402,2.84,0.9882,0.0118,0.0235
2005,86,"Area L","ahec",299977,2.87,0.9884,0.0116,0.0233
2006,101,"Area L","ahec",299459,3.37,0.9901,0.0099,0.0297
2007,112,"Area L","ahec",299285,3.74,0.9911,0.0089,0.0536
2008,109,"Area L","ahec",301094,3.62,0.9908,0.0092,0.055
2009,108,"Area L","ahec",303354,3.56,0.9815,0.0093,0.037
2010,116,"Area L","ahec",311268,3.73,0.9828,0.0172,0.0345
2011,123,"Area L","ahec",309832,3.97,0.9837,0.0163,0.065
2012,129,"Area L","ahec",309165,4.17,0.9845,0.0233,0.0698
2013,126,"Area L","ahec",306794,4.11,0.9921,0.0317,0.0635
2014,148,"Area L","ahec",305841,4.84,0.9932,0.027,0.0743
2015,141,"Area L","ahec",303922,4.64,0.9929,0.0284,0.0922
2016,152,"Area L","ahec",302629,5.02,0.9803,0.0263,0.0921
2017,156,"Area L","ahec",301780,5.17,0.9808,0.0385,0.0769
2000,730,"Charlotte","ahec",1384001,5.27,0.9973,0.0027,0.0356
2001,786,"Charlotte","ahec",1419589,5.54,0.9936,0.0025,0.0382
2002,825,"Charlotte","ahec",1452485,5.68,0.9939,0.0036,0.0388
2003,806,"Charlotte","ahec",1485382,5.43,0.9938,0.0062,0.0372
2004,864,"Charlotte","ahec",1510434,5.72,0.9965,0.0069,0.0405
2005,872,"Charlotte","ahec",1539732,5.66,0.9954,0.008,0.047
2006,921,"Charlotte","ahec",1605915,5.74,0.9935,0.0109,0.0499
2007,929,"Charlotte","ahec",1665257,5.58,0.9925,0.0118,0.0484
2008,989,"Charlotte","ahec",1701378,5.81,0.9929,0.0121,0.0516
2009,1004,"Charlotte","ahec",1732010,5.8,0.992,0.0169,0.0518
2010,1025,"Charlotte","ahec",1776565,5.77,0.9912,0.0156,0.0517
2011,1044,"Charlotte","ahec",1799166,5.8,0.9914,0.0182,0.0556
2012,1060,"Charlotte","ahec",1827256,5.8,0.9915,0.0226,0.05
2013,1105,"Charlotte","ahec",1863538,5.93,0.9919,0.029,0.0561
2014,1138,"Charlotte","ahec",1896573,6,0.9903,0.036,0.0554
2015,1146,"Charlotte","ahec",1930604,5.94,0.9904,0.0384,0.0637
2016,1179,"Charlotte","ahec",1961268,6.01,0.9898,0.0424,0.0645
2017,1196,"Charlotte","ahec",1999372,5.98,0.9891,0.0527,0.0627
2000,356,"Eastern","ahec",913210,3.9,0.9972,0.0084,0.0225
2001,356,"Eastern","ahec",914567,3.89,1,0.0028,0.0281
2002,380,"Eastern","ahec",923021,4.12,1,0.0053,0.0237
2003,388,"Eastern","ahec",931473,4.17,0.9948,0.0077,0.0335
2004,413,"Eastern","ahec",947271,4.36,0.9976,0.0073,0.0266
2005,424,"Eastern","ahec",957168,4.43,0.9976,0.0047,0.0283
2006,457,"Eastern","ahec",967485,4.72,0.9956,0.0044,0.0284
2007,473,"Eastern","ahec",1002600,4.72,0.9937,0.0042,0.0211
2008,492,"Eastern","ahec",995121,4.94,0.9939,0.002,0.0183
2009,515,"Eastern","ahec",1007683,5.11,0.9981,0.0019,0.0252
2010,526,"Eastern","ahec",1035493,5.08,0.9962,0.0076,0.0266
2011,539,"Eastern","ahec",1044211,5.16,1,0.0074,0.0315
2012,551,"Eastern","ahec",1055120,5.22,0.9946,0.0091,0.0272
2013,571,"Eastern","ahec",1059704,5.39,0.9965,0.014,0.0333
2014,560,"Eastern","ahec",1060701,5.28,0.9946,0.0196,0.0286
2015,583,"Eastern","ahec",1062244,5.49,0.9966,0.0223,0.0309
2016,604,"Eastern","ahec",1061127,5.69,0.9934,0.0281,0.0315
2017,623,"Eastern","ahec",1064705,5.85,0.992,0.0337,0.0305
2000,507,"Greensboro","ahec",992109,5.11,0.9941,0.002,0.0355
2001,517,"Greensboro","ahec",1004145,5.15,0.9961,0.0019,0.0348
2002,549,"Greensboro","ahec",1022139,5.37,0.9945,0.0018,0.0437
2003,553,"Greensboro","ahec",1040135,5.32,0.9928,0.0018,0.0452
2004,586,"Greensboro","ahec",1037038,5.65,0.9966,0.0034,0.0478
2005,568,"Greensboro","ahec",1036988,5.48,0.9947,0.0053,0.0511
2006,610,"Greensboro","ahec",1051795,5.8,0.9951,0.0049,0.0393
2007,623,"Greensboro","ahec",1072610,5.81,0.9952,0.0048,0.053
2008,640,"Greensboro","ahec",1088392,5.88,0.9938,0.0031,0.0547
2009,653,"Greensboro","ahec",1105017,5.91,0.9923,0.0061,0.0521
2010,659,"Greensboro","ahec",1127674,5.84,0.9939,0.0061,0.0546
2011,672,"Greensboro","ahec",1136068,5.92,0.9955,0.0074,0.0506
2012,681,"Greensboro","ahec",1147212,5.94,0.9927,0.0117,0.0499
2013,702,"Greensboro","ahec",1154755,6.08,0.9915,0.0157,0.0442
2014,720,"Greensboro","ahec",1163764,6.19,0.9903,0.0236,0.05
2015,719,"Greensboro","ahec",1173064,6.13,0.9889,0.0292,0.0515
2016,734,"Greensboro","ahec",1180482,6.22,0.9877,0.0354,0.0531
2017,725,"Greensboro","ahec",1190264,6.09,0.989,0.0441,0.0497
2000,352,"Mountain","ahec",672306,5.24,0.9915,0,0.0057
2001,360,"Mountain","ahec",681837,5.28,0.9917,0.0028,0.0056
2002,377,"Mountain","ahec",692197,5.45,0.992,0.0027,0.0053
2003,404,"Mountain","ahec",702555,5.75,0.9926,0.0025,0.005
2004,416,"Mountain","ahec",703634,5.91,0.9904,0.0024,0.0072
2005,429,"Mountain","ahec",709033,6.05,0.993,0.0023,0.0047
2006,454,"Mountain","ahec",717342,6.33,0.9934,0.0044,0.0044
