"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2004,98,"Area L","ahec",299402,3.27,0.5612,0,0.1224
2005,104,"Area L","ahec",299977,3.47,0.6058,0,0.1442
2006,110,"Area L","ahec",299459,3.67,0.6273,0,0.1455
2007,114,"Area L","ahec",299285,3.81,0.6316,0,0.1316
2008,115,"Area L","ahec",301094,3.82,0.6348,0,0.1478
2009,118,"Area L","ahec",303354,3.89,0.6441,0.0169,0.1949
2010,124,"Area L","ahec",311268,3.98,0.621,0.0161,0.1855
2011,129,"Area L","ahec",309832,4.16,0.6589,0.0233,0.1395
2012,125,"Area L","ahec",309165,4.04,0.664,0.024,0.144
2013,116,"Area L","ahec",306794,3.78,0.6638,0.0259,0.1552
2014,125,"Area L","ahec",305841,4.09,0.664,0.032,0.144
2015,123,"Area L","ahec",303922,4.05,0.6829,0.0407,0.1707
2016,124,"Area L","ahec",302629,4.1,0.6774,0.0323,0.1774
2017,130,"Area L","ahec",301780,4.31,0.6769,0.0385,0.1846
2004,559,"Charlotte","ahec",1510434,3.7,0.644,0.0054,0.1055
2005,593,"Charlotte","ahec",1539732,3.85,0.6442,0.0067,0.1113
2006,646,"Charlotte","ahec",1605915,4.02,0.6687,0.0077,0.1254
2007,660,"Charlotte","ahec",1665257,3.96,0.6955,0.0076,0.1439
2008,718,"Charlotte","ahec",1701378,4.22,0.6908,0.007,0.1713
2009,730,"Charlotte","ahec",1732010,4.21,0.7014,0.0055,0.1685
2010,730,"Charlotte","ahec",1776565,4.11,0.7,0.0082,0.1767
2011,767,"Charlotte","ahec",1799166,4.26,0.6923,0.0078,0.1773
2012,799,"Charlotte","ahec",1827256,4.37,0.7009,0.0138,0.1715
2013,781,"Charlotte","ahec",1863538,4.19,0.6876,0.0154,0.1665
2014,811,"Charlotte","ahec",1896573,4.28,0.6794,0.016,0.1677
2015,807,"Charlotte","ahec",1930604,4.18,0.6753,0.0211,0.171
2016,839,"Charlotte","ahec",1961268,4.28,0.6853,0.0215,0.1907
2017,890,"Charlotte","ahec",1999372,4.45,0.6944,0.0258,0.1978
2004,402,"Eastern","ahec",947271,4.24,0.6567,0.005,0.0721
2005,404,"Eastern","ahec",957168,4.22,0.7153,0.005,0.0842
2006,413,"Eastern","ahec",967485,4.27,0.7288,0.0024,0.092
2007,435,"Eastern","ahec",1002600,4.34,0.7632,0.0069,0.0989
2008,450,"Eastern","ahec",995121,4.52,0.7778,0.0111,0.1089
2009,466,"Eastern","ahec",1007683,4.62,0.7639,0.015,0.1116
