"year","total","region","type","population","providerRate"
2011,65,"Area L","ahec",309832,2.1
2012,56,"Area L","ahec",309165,1.81
2013,52,"Area L","ahec",306794,1.69
2014,61,"Area L","ahec",305841,1.99
2015,57,"Area L","ahec",303922,1.88
2016,57,"Area L","ahec",302629,1.88
2017,63,"Area L","ahec",301780,2.09
2011,472,"Charlotte","ahec",1799166,2.62
2012,491,"Charlotte","ahec",1827256,2.69
2013,438,"Charlotte","ahec",1863538,2.35
2014,432,"Charlotte","ahec",1896573,2.28
2015,421,"Charlotte","ahec",1930604,2.18
2016,427,"Charlotte","ahec",1961268,2.18
2017,426,"Charlotte","ahec",1999372,2.13
2011,220,"Eastern","ahec",1044211,2.11
2012,216,"Eastern","ahec",1055120,2.05
2013,182,"Eastern","ahec",1059704,1.72
2014,175,"Eastern","ahec",1060701,1.65
2015,187,"Eastern","ahec",1062244,1.76
2016,178,"Eastern","ahec",1061127,1.68
2017,185,"Eastern","ahec",1064705,1.74
2011,314,"Greensboro","ahec",1136068,2.76
2012,294,"Greensboro","ahec",1147212,2.56
2013,260,"Greensboro","ahec",1154755,2.25
2014,266,"Greensboro","ahec",1163764,2.29
2015,243,"Greensboro","ahec",1173064,2.07
2016,256,"Greensboro","ahec",1180482,2.17
2017,264,"Greensboro","ahec",1190264,2.22
2011,177,"Mountain","ahec",770362,2.3
2012,173,"Mountain","ahec",769642,2.25
2013,140,"Mountain","ahec",776064,1.8
2014,135,"Mountain","ahec",781867,1.73
2015,138,"Mountain","ahec",789383,1.75
2016,145,"Mountain","ahec",799550,1.81
2017,140,"Mountain","ahec",807857,1.73
2011,389,"Northwest","ahec",1563589,2.49
2012,348,"Northwest","ahec",1566740,2.22
2013,336,"Northwest","ahec",1571258,2.14
2014,306,"Northwest","ahec",1579059,1.94
2015,291,"Northwest","ahec",1586703,1.83
2016,276,"Northwest","ahec",1598199,1.73
2017,273,"Northwest","ahec",1610400,1.7
2011,119,"South East","ahec",487484,2.44
2012,122,"South East","ahec",494872,2.47
2013,86,"South East","ahec",502936,1.71
2014,91,"South East","ahec",509080,1.79
