"year","total","region","type","population","providerRate"
2011,161,"Area L","ahec",309832,5.2
2012,153,"Area L","ahec",309165,4.95
2013,150,"Area L","ahec",306794,4.89
2014,159,"Area L","ahec",305841,5.2
2015,156,"Area L","ahec",303922,5.13
2016,159,"Area L","ahec",302629,5.25
2017,167,"Area L","ahec",301780,5.53
2011,1467,"Charlotte","ahec",1799166,8.15
2012,1474,"Charlotte","ahec",1827256,8.07
2013,1323,"Charlotte","ahec",1863538,7.1
2014,1397,"Charlotte","ahec",1896573,7.37
2015,1417,"Charlotte","ahec",1930604,7.34
2016,1437,"Charlotte","ahec",1961268,7.33
2017,1468,"Charlotte","ahec",1999372,7.34
2011,694,"Eastern","ahec",1044211,6.65
2012,684,"Eastern","ahec",1055120,6.48
2013,604,"Eastern","ahec",1059704,5.7
2014,619,"Eastern","ahec",1060701,5.84
2015,638,"Eastern","ahec",1062244,6.01
2016,631,"Eastern","ahec",1061127,5.95
2017,636,"Eastern","ahec",1064705,5.97
2011,999,"Greensboro","ahec",1136068,8.79
2012,966,"Greensboro","ahec",1147212,8.42
2013,882,"Greensboro","ahec",1154755,7.64
2014,916,"Greensboro","ahec",1163764,7.87
2015,922,"Greensboro","ahec",1173064,7.86
2016,934,"Greensboro","ahec",1180482,7.91
2017,936,"Greensboro","ahec",1190264,7.86
2011,683,"Mountain","ahec",770362,8.87
2012,662,"Mountain","ahec",769642,8.6
2013,606,"Mountain","ahec",776064,7.81
2014,638,"Mountain","ahec",781867,8.16
2015,646,"Mountain","ahec",789383,8.18
2016,684,"Mountain","ahec",799550,8.55
2017,684,"Mountain","ahec",807857,8.47
2011,1197,"Northwest","ahec",1563589,7.66
2012,1158,"Northwest","ahec",1566740,7.39
2013,1068,"Northwest","ahec",1571258,6.8
2014,1068,"Northwest","ahec",1579059,6.76
2015,1072,"Northwest","ahec",1586703,6.76
2016,1075,"Northwest","ahec",1598199,6.73
2017,1082,"Northwest","ahec",1610400,6.72
2011,339,"South East","ahec",487484,6.95
2012,337,"South East","ahec",494872,6.81
2013,278,"South East","ahec",502936,5.53
2014,304,"South East","ahec",509080,5.97
2015,311,"South East","ahec",518781,5.99
2016,307,"South East","ahec",527596,5.82
2017,311,"South East","ahec",536440,5.8
2011,510,"Southern Regional","ahec",900751,5.66
2012,530,"Southern Regional","ahec",909169,5.83
2013,468,"Southern Regional","ahec",914274,5.12
2014,495,"Southern Regional","ahec",913874,5.42
2015,479,"Southern Regional","ahec",915808,5.23
2016,464,"Southern Regional","ahec",918447,5.05
2017,469,"Southern Regional","ahec",921525,5.09
2011,1477,"Wake AHEC","ahec",1657781,8.91
2012,1447,"Wake AHEC","ahec",1686053,8.58
2013,1330,"Wake AHEC","ahec",1712629,7.77
2014,1346,"Wake AHEC","ahec",1742928,7.72
2015,1355,"Wake AHEC","ahec",1776174,7.63
2016,1369,"Wake AHEC","ahec",1806644,7.58
2017,1411,"Wake AHEC","ahec",1840349,7.67
2011,97,"Alamance","county",152531,6.36
2012,104,"Alamance","county",153029,6.8
2013,97,"Alamance","county",153595,6.32
2014,93,"Alamance","county",155789,5.97
2015,99,"Alamance","county",157522,6.28
2016,100,"Alamance","county",159054,6.29
2017,111,"Alamance","county",161076,6.89
2011,12,"Alexander","county",37528,3.2
2012,11,"Alexander","county",37389,2.94
2013,10,"Alexander","county",37436,2.67
2014,10,"Alexander","county",37832,2.64
2015,11,"Alexander","county",37952,2.9
2016,10,"Alexander","county",38284,2.61
2017,12,"Alexander","county",38452,3.12
2011,7,"Alleghany","county",11069,6.32
2012,8,"Alleghany","county",10971,7.29
2013,3,"Alleghany","county",11052,2.71
2014,5,"Alleghany","county",11099,4.5
2015,6,"Alleghany","county",11190,5.36
2016,5,"Alleghany","county",11202,4.46
2017,5,"Alleghany","county",11233,4.45
2011,14,"Anson","county",25822,5.42
2012,11,"Anson","county",26626,4.13
