"year","total","region","type","population","providerRate"
2011,22,"Area L","ahec",309832,0.71
2012,26,"Area L","ahec",309165,0.84
2013,35,"Area L","ahec",306794,1.14
2014,35,"Area L","ahec",305841,1.14
2015,32,"Area L","ahec",303922,1.05
2016,32,"Area L","ahec",302629,1.06
2017,31,"Area L","ahec",301780,1.03
2011,313,"Charlotte","ahec",1799166,1.74
2012,329,"Charlotte","ahec",1827256,1.8
2013,326,"Charlotte","ahec",1863538,1.75
2014,340,"Charlotte","ahec",1896573,1.79
2015,341,"Charlotte","ahec",1930604,1.77
2016,343,"Charlotte","ahec",1961268,1.75
2017,359,"Charlotte","ahec",1999372,1.8
2011,142,"Eastern","ahec",1044211,1.36
2012,141,"Eastern","ahec",1055120,1.34
2013,147,"Eastern","ahec",1059704,1.39
2014,145,"Eastern","ahec",1060701,1.37
2015,144,"Eastern","ahec",1062244,1.36
2016,141,"Eastern","ahec",1061127,1.33
2017,138,"Eastern","ahec",1064705,1.3
2011,208,"Greensboro","ahec",1136068,1.83
2012,221,"Greensboro","ahec",1147212,1.93
2013,240,"Greensboro","ahec",1154755,2.08
2014,225,"Greensboro","ahec",1163764,1.93
2015,219,"Greensboro","ahec",1173064,1.87
2016,221,"Greensboro","ahec",1180482,1.87
2017,209,"Greensboro","ahec",1190264,1.76
2011,91,"Mountain","ahec",770362,1.18
2012,95,"Mountain","ahec",769642,1.23
2013,107,"Mountain","ahec",776064,1.38
2014,102,"Mountain","ahec",781867,1.3
2015,100,"Mountain","ahec",789383,1.27
2016,97,"Mountain","ahec",799550,1.21
2017,99,"Mountain","ahec",807857,1.23
2011,206,"Northwest","ahec",1563589,1.32
2012,223,"Northwest","ahec",1566740,1.42
2013,217,"Northwest","ahec",1571258,1.38
2014,217,"Northwest","ahec",1579059,1.37
2015,213,"Northwest","ahec",1586703,1.34
2016,217,"Northwest","ahec",1598199,1.36
2017,215,"Northwest","ahec",1610400,1.34
2011,51,"South East","ahec",487484,1.05
2012,58,"South East","ahec",494872,1.17
2013,57,"South East","ahec",502936,1.13
2014,60,"South East","ahec",509080,1.18
2015,55,"South East","ahec",518781,1.06
2016,55,"South East","ahec",527596,1.04
2017,60,"South East","ahec",536440,1.12
2011,96,"Southern Regional","ahec",900751,1.07
2012,106,"Southern Regional","ahec",909169,1.17
2013,105,"Southern Regional","ahec",914274,1.15
2014,112,"Southern Regional","ahec",913874,1.23
2015,105,"Southern Regional","ahec",915808,1.15
2016,103,"Southern Regional","ahec",918447,1.12
2017,98,"Southern Regional","ahec",921525,1.06
2011,343,"Wake AHEC","ahec",1657781,2.07
2012,367,"Wake AHEC","ahec",1686053,2.18
