"year","total","region","type","population","providerRate"
2011,52,"Area L","ahec",309832,1.68
2012,49,"Area L","ahec",309165,1.58
2013,45,"Area L","ahec",306794,1.47
2014,46,"Area L","ahec",305841,1.5
2015,47,"Area L","ahec",303922,1.55
2016,52,"Area L","ahec",302629,1.72
2017,53,"Area L","ahec",301780,1.76
2011,484,"Charlotte","ahec",1799166,2.69
2012,470,"Charlotte","ahec",1827256,2.57
2013,399,"Charlotte","ahec",1863538,2.14
2014,447,"Charlotte","ahec",1896573,2.36
2015,465,"Charlotte","ahec",1930604,2.41
2016,469,"Charlotte","ahec",1961268,2.39
2017,479,"Charlotte","ahec",1999372,2.4
2011,238,"Eastern","ahec",1044211,2.28
2012,243,"Eastern","ahec",1055120,2.3
2013,205,"Eastern","ahec",1059704,1.93
2014,229,"Eastern","ahec",1060701,2.16
2015,227,"Eastern","ahec",1062244,2.14
2016,236,"Eastern","ahec",1061127,2.22
2017,236,"Eastern","ahec",1064705,2.22
2011,361,"Greensboro","ahec",1136068,3.18
2012,347,"Greensboro","ahec",1147212,3.02
2013,286,"Greensboro","ahec",1154755,2.48
2014,320,"Greensboro","ahec",1163764,2.75
2015,352,"Greensboro","ahec",1173064,3
2016,343,"Greensboro","ahec",1180482,2.91
2017,351,"Greensboro","ahec",1190264,2.95
2011,344,"Mountain","ahec",770362,4.47
2012,336,"Mountain","ahec",769642,4.37
2013,296,"Mountain","ahec",776064,3.81
2014,331,"Mountain","ahec",781867,4.23
2015,336,"Mountain","ahec",789383,4.26
2016,367,"Mountain","ahec",799550,4.59
2017,363,"Mountain","ahec",807857,4.49
2011,475,"Northwest","ahec",1563589,3.04
2012,476,"Northwest","ahec",1566740,3.04
2013,405,"Northwest","ahec",1571258,2.58
2014,425,"Northwest","ahec",1579059,2.69
2015,445,"Northwest","ahec",1586703,2.8
2016,459,"Northwest","ahec",1598199,2.87
2017,469,"Northwest","ahec",1610400,2.91
2011,123,"South East","ahec",487484,2.52
2012,116,"South East","ahec",494872,2.34
2013,100,"South East","ahec",502936,1.99
2014,113,"South East","ahec",509080,2.22
2015,122,"South East","ahec",518781,2.35
2016,119,"South East","ahec",527596,2.26
2017,115,"South East","ahec",536440,2.14
2011,184,"Southern Regional","ahec",900751,2.04
2012,193,"Southern Regional","ahec",909169,2.12
2013,165,"Southern Regional","ahec",914274,1.8
2014,180,"Southern Regional","ahec",913874,1.97
2015,182,"Southern Regional","ahec",915808,1.99
2016,176,"Southern Regional","ahec",918447,1.92
2017,187,"Southern Regional","ahec",921525,2.03
2011,434,"Wake AHEC","ahec",1657781,2.62
2012,430,"Wake AHEC","ahec",1686053,2.55
2013,382,"Wake AHEC","ahec",1712629,2.23
2014,415,"Wake AHEC","ahec",1742928,2.38
2015,426,"Wake AHEC","ahec",1776174,2.4
2016,420,"Wake AHEC","ahec",1806644,2.32
2017,447,"Wake AHEC","ahec",1840349,2.43
2011,33,"Alamance","county",152531,2.16
2012,38,"Alamance","county",153029,2.48
2013,30,"Alamance","county",153595,1.95
2014,38,"Alamance","county",155789,2.44
2015,42,"Alamance","county",157522,2.67
2016,42,"Alamance","county",159054,2.64
2017,49,"Alamance","county",161076,3.04
2011,9,"Alexander","county",37528,2.4
2012,9,"Alexander","county",37389,2.41
2013,10,"Alexander","county",37436,2.67
2014,10,"Alexander","county",37832,2.64
2015,9,"Alexander","county",37952,2.37
2016,8,"Alexander","county",38284,2.09
2017,9,"Alexander","county",38452,2.34
2011,5,"Alleghany","county",11069,4.52
2012,5,"Alleghany","county",10971,4.56
2013,3,"Alleghany","county",11052,2.71
2014,4,"Alleghany","county",11099,3.6
2015,6,"Alleghany","county",11190,5.36
2016,5,"Alleghany","county",11202,4.46
2017,5,"Alleghany","county",11233,4.45
2011,9,"Anson","county",25822,3.49
2012,6,"Anson","county",26626,2.25
2013,4,"Anson","county",26318,1.52
2014,3,"Anson","county",26468,1.13
2015,4,"Anson","county",26155,1.53
2016,3,"Anson","county",25628,1.17
2017,3,"Anson","county",25626,1.17
2011,14,"Ashe","county",27423,5.11
2012,14,"Ashe","county",27361,5.12
2013,13,"Ashe","county",27434,4.74
2014,12,"Ashe","county",27448,4.37
2015,12,"Ashe","county",27332,4.39
2016,13,"Ashe","county",27344,4.75
2017,11,"Ashe","county",27218,4.04
2011,4,"Avery","county",17834,2.24
2012,5,"Avery","county",17764,2.81
2013,4,"Avery","county",17872,2.24
2014,5,"Avery","county",17895,2.79
2015,8,"Avery","county",17816,4.49
2016,7,"Avery","county",18098,3.87
2017,7,"Avery","county",18072,3.87
2011,12,"Beaufort","county",47854,2.51
2012,12,"Beaufort","county",47901,2.51
2013,11,"Beaufort","county",47777,2.3
2014,9,"Beaufort","county",47717,1.89
2015,9,"Beaufort","county",47829,1.88
2016,6,"Beaufort","county",47610,1.26
2017,8,"Beaufort","county",47547,1.68
2011,4,"Bertie","county",20890,1.91
2012,4,"Bertie","county",20665,1.94
2013,3,"Bertie","county",20595,1.46
2014,3,"Bertie","county",20617,1.46
2015,5,"Bertie","county",20533,2.44
2016,4,"Bertie","county",19847,2.02
2017,4,"Bertie","county",19881,2.01
2011,7,"Bladen","county",35148,1.99
2012,13,"Bladen","county",35200,3.69
2013,6,"Bladen","county",35209,1.7
2014,9,"Bladen","county",35113,2.56
2015,9,"Bladen","county",35011,2.57
2016,10,"Bladen","county",34667,2.88
2017,9,"Bladen","county",34393,2.62
