"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2006,27,"Area L","ahec",299459,0.9,0.963,0,0.1481
2007,32,"Area L","ahec",299285,1.07,0.9063,0,0.0625
2008,30,"Area L","ahec",301094,1,0.9,0,0.0667
2009,35,"Area L","ahec",303354,1.15,0.9143,0,0.0857
2010,36,"Area L","ahec",311268,1.16,0.8889,0,0.0833
2011,35,"Area L","ahec",309832,1.13,0.9143,0,0.1143
2012,43,"Area L","ahec",309165,1.39,0.8837,0,0.1163
2013,45,"Area L","ahec",306794,1.47,0.8667,0,0.1556
2014,47,"Area L","ahec",305841,1.54,0.9149,0,0.1277
2015,47,"Area L","ahec",303922,1.55,0.8936,0,0.1277
2016,51,"Area L","ahec",302629,1.69,0.902,0,0.1373
2017,50,"Area L","ahec",301780,1.66,0.9,0.02,0.18
2006,171,"Charlotte","ahec",1605915,1.06,0.9474,0.0117,0.0819
2007,187,"Charlotte","ahec",1665257,1.12,0.9305,0.016,0.107
2008,206,"Charlotte","ahec",1701378,1.21,0.9175,0.0097,0.1068
2009,214,"Charlotte","ahec",1732010,1.24,0.9159,0.014,0.0841
2010,224,"Charlotte","ahec",1776565,1.26,0.9241,0.0134,0.1027
2011,236,"Charlotte","ahec",1799166,1.31,0.9195,0.0127,0.1017
2012,251,"Charlotte","ahec",1827256,1.37,0.9163,0.0199,0.1116
2013,266,"Charlotte","ahec",1863538,1.43,0.9248,0.0188,0.109
2014,292,"Charlotte","ahec",1896573,1.54,0.9144,0.024,0.1199
2015,304,"Charlotte","ahec",1930604,1.57,0.9145,0.0197,0.1447
2016,314,"Charlotte","ahec",1961268,1.6,0.9172,0.0159,0.1624
2017,322,"Charlotte","ahec",1999372,1.61,0.9193,0.0186,0.1366
2006,115,"Eastern","ahec",967485,1.19,0.913,0.0087,0.0783
2007,119,"Eastern","ahec",1002600,1.19,0.8992,0.0084,0.1008
2008,128,"Eastern","ahec",995121,1.29,0.9219,0.0078,0.0938
