"year","total","region","type","population","providerRate"
2011,11,"Area L","ahec",309832,0.36
2012,11,"Area L","ahec",309165,0.36
2013,10,"Area L","ahec",306794,0.33
2014,10,"Area L","ahec",305841,0.33
2015,10,"Area L","ahec",303922,0.33
2016,9,"Area L","ahec",302629,0.3
2017,8,"Area L","ahec",301780,0.27
2011,85,"Charlotte","ahec",1799166,0.47
2012,82,"Charlotte","ahec",1827256,0.45
2013,79,"Charlotte","ahec",1863538,0.42
2014,85,"Charlotte","ahec",1896573,0.45
2015,88,"Charlotte","ahec",1930604,0.46
2016,89,"Charlotte","ahec",1961268,0.45
2017,89,"Charlotte","ahec",1999372,0.45
2011,38,"Eastern","ahec",1044211,0.36
2012,36,"Eastern","ahec",1055120,0.34
2013,34,"Eastern","ahec",1059704,0.32
2014,35,"Eastern","ahec",1060701,0.33
2015,35,"Eastern","ahec",1062244,0.33
2016,32,"Eastern","ahec",1061127,0.3
2017,35,"Eastern","ahec",1064705,0.33
2011,63,"Greensboro","ahec",1136068,0.55
2012,60,"Greensboro","ahec",1147212,0.52
2013,60,"Greensboro","ahec",1154755,0.52
2014,59,"Greensboro","ahec",1163764,0.51
2015,60,"Greensboro","ahec",1173064,0.51
2016,70,"Greensboro","ahec",1180482,0.59
2017,69,"Greensboro","ahec",1190264,0.58
2011,41,"Mountain","ahec",770362,0.53
2012,39,"Mountain","ahec",769642,0.51
2013,40,"Mountain","ahec",776064,0.52
2014,39,"Mountain","ahec",781867,0.5
2015,38,"Mountain","ahec",789383,0.48
2016,42,"Mountain","ahec",799550,0.53
2017,40,"Mountain","ahec",807857,0.5
2011,88,"Northwest","ahec",1563589,0.56
2012,86,"Northwest","ahec",1566740,0.55
2013,78,"Northwest","ahec",1571258,0.5
2014,81,"Northwest","ahec",1579059,0.51
2015,82,"Northwest","ahec",1586703,0.52
2016,88,"Northwest","ahec",1598199,0.55
2017,88,"Northwest","ahec",1610400,0.55
2011,22,"South East","ahec",487484,0.45
2012,22,"South East","ahec",494872,0.44
2013,23,"South East","ahec",502936,0.46
2014,24,"South East","ahec",509080,0.47
2015,26,"South East","ahec",518781,0.5
2016,27,"South East","ahec",527596,0.51
2017,26,"South East","ahec",536440,0.48
2011,28,"Southern Regional","ahec",900751,0.31
2012,28,"Southern Regional","ahec",909169,0.31
2013,25,"Southern Regional","ahec",914274,0.27
