"year","total","region","type","population","providerRate"
2000,0,"Area L","ahec",296296,0
2001,0,"Area L","ahec",296584,0
2002,0,"Area L","ahec",298557,0
2003,0,"Area L","ahec",300530,0
2004,0,"Area L","ahec",299402,0
2005,0,"Area L","ahec",299977,0
2006,0,"Area L","ahec",299459,0
2007,0,"Area L","ahec",299285,0
2008,0,"Area L","ahec",301094,0
2009,0,"Area L","ahec",303354,0
2010,0,"Area L","ahec",311268,0
2011,0,"Area L","ahec",309832,0
2012,0,"Area L","ahec",309165,0
2013,0,"Area L","ahec",306794,0
2014,0,"Area L","ahec",305841,0
2015,0,"Area L","ahec",303922,0
2016,0,"Area L","ahec",302629,0
2017,0,"Area L","ahec",301780,0
2000,0,"Charlotte","ahec",1384001,0
2001,0,"Charlotte","ahec",1419589,0
2002,0,"Charlotte","ahec",1452485,0
2003,0,"Charlotte","ahec",1485382,0
2004,0,"Charlotte","ahec",1510434,0
2005,0,"Charlotte","ahec",1539732,0
2006,0,"Charlotte","ahec",1605915,0
2007,0,"Charlotte","ahec",1665257,0
2008,0,"Charlotte","ahec",1701378,0
2009,0,"Charlotte","ahec",1732010,0
2010,0,"Charlotte","ahec",1776565,0
2011,0,"Charlotte","ahec",1799166,0
2012,0,"Charlotte","ahec",1827256,0
2013,0,"Charlotte","ahec",1863538,0
2014,0,"Charlotte","ahec",1896573,0
2015,0,"Charlotte","ahec",1930604,0
2016,0,"Charlotte","ahec",1961268,0
2017,0,"Charlotte","ahec",1999372,0
2000,1,"Eastern","ahec",913210,0.01
2001,0,"Eastern","ahec",914567,0
2002,0,"Eastern","ahec",923021,0
2003,0,"Eastern","ahec",931473,0
2004,0,"Eastern","ahec",947271,0
2005,0,"Eastern","ahec",957168,0
2006,0,"Eastern","ahec",967485,0
2007,0,"Eastern","ahec",1002600,0
2008,0,"Eastern","ahec",995121,0
2009,0,"Eastern","ahec",1007683,0
2010,0,"Eastern","ahec",1035493,0
2011,1,"Eastern","ahec",1044211,0.01
2012,1,"Eastern","ahec",1055120,0.01
2013,1,"Eastern","ahec",1059704,0.01
2014,1,"Eastern","ahec",1060701,0.01
2015,1,"Eastern","ahec",1062244,0.01
2016,1,"Eastern","ahec",1061127,0.01
2017,1,"Eastern","ahec",1064705,0.01
2000,1,"Greensboro","ahec",992109,0.01
2001,1,"Greensboro","ahec",1004145,0.01
2002,0,"Greensboro","ahec",1022139,0
2003,0,"Greensboro","ahec",1040135,0
2004,0,"Greensboro","ahec",1037038,0
2005,0,"Greensboro","ahec",1036988,0
2006,1,"Greensboro","ahec",1051795,0.01
2007,0,"Greensboro","ahec",1072610,0
2008,3,"Greensboro","ahec",1088392,0.03
2009,3,"Greensboro","ahec",1105017,0.03
2010,3,"Greensboro","ahec",1127674,0.03
2011,3,"Greensboro","ahec",1136068,0.03
2012,2,"Greensboro","ahec",1147212,0.02
2013,2,"Greensboro","ahec",1154755,0.02
2014,3,"Greensboro","ahec",1163764,0.03
2015,3,"Greensboro","ahec",1173064,0.03
2016,3,"Greensboro","ahec",1180482,0.03
2017,3,"Greensboro","ahec",1190264,0.03
2000,0,"Mountain","ahec",672306,0
2001,0,"Mountain","ahec",681837,0
2002,0,"Mountain","ahec",692197,0
2003,0,"Mountain","ahec",702555,0
2004,0,"Mountain","ahec",703634,0
2005,0,"Mountain","ahec",709033,0
2006,0,"Mountain","ahec",717342,0
2007,0,"Mountain","ahec",706233,0
2008,0,"Mountain","ahec",732921,0
2009,0,"Mountain","ahec",739965,0
2010,0,"Mountain","ahec",761986,0
2011,0,"Mountain","ahec",770362,0
2012,0,"Mountain","ahec",769642,0
2013,0,"Mountain","ahec",776064,0
2014,0,"Mountain","ahec",781867,0
2015,0,"Mountain","ahec",789383,0
2016,0,"Mountain","ahec",799550,0
