"year","total","region","type","population","providerRate"
2011,186,"Area L","ahec",309832,6
2012,185,"Area L","ahec",309165,5.98
2013,186,"Area L","ahec",306794,6.06
2014,199,"Area L","ahec",305841,6.51
2015,195,"Area L","ahec",303922,6.42
2016,203,"Area L","ahec",302629,6.71
2017,206,"Area L","ahec",301780,6.83
2011,1637,"Charlotte","ahec",1799166,9.1
2012,1684,"Charlotte","ahec",1827256,9.22
2013,1614,"Charlotte","ahec",1863538,8.66
2014,1707,"Charlotte","ahec",1896573,9
2015,1745,"Charlotte","ahec",1930604,9.04
2016,1799,"Charlotte","ahec",1961268,9.17
2017,1841,"Charlotte","ahec",1999372,9.21
2011,780,"Eastern","ahec",1044211,7.47
2012,787,"Eastern","ahec",1055120,7.46
2013,762,"Eastern","ahec",1059704,7.19
2014,778,"Eastern","ahec",1060701,7.33
2015,799,"Eastern","ahec",1062244,7.52
2016,796,"Eastern","ahec",1061127,7.5
2017,794,"Eastern","ahec",1064705,7.46
2011,1109,"Greensboro","ahec",1136068,9.76
2012,1086,"Greensboro","ahec",1147212,9.47
2013,1077,"Greensboro","ahec",1154755,9.33
2014,1122,"Greensboro","ahec",1163764,9.64
2015,1119,"Greensboro","ahec",1173064,9.54
2016,1148,"Greensboro","ahec",1180482,9.72
2017,1160,"Greensboro","ahec",1190264,9.75
2011,749,"Mountain","ahec",770362,9.72
2012,748,"Mountain","ahec",769642,9.72
2013,756,"Mountain","ahec",776064,9.74
2014,797,"Mountain","ahec",781867,10.19
2015,810,"Mountain","ahec",789383,10.26
2016,847,"Mountain","ahec",799550,10.59
2017,848,"Mountain","ahec",807857,10.5
2011,1328,"Northwest","ahec",1563589,8.49
2012,1332,"Northwest","ahec",1566740,8.5
2013,1291,"Northwest","ahec",1571258,8.22
2014,1308,"Northwest","ahec",1579059,8.28
2015,1340,"Northwest","ahec",1586703,8.45
2016,1372,"Northwest","ahec",1598199,8.58
2017,1389,"Northwest","ahec",1610400,8.63
2011,388,"South East","ahec",487484,7.96
2012,392,"South East","ahec",494872,7.92
2013,367,"South East","ahec",502936,7.3
2014,392,"South East","ahec",509080,7.7
2015,400,"South East","ahec",518781,7.71
2016,396,"South East","ahec",527596,7.51
2017,398,"South East","ahec",536440,7.42
2011,585,"Southern Regional","ahec",900751,6.49
2012,620,"Southern Regional","ahec",909169,6.82
2013,590,"Southern Regional","ahec",914274,6.45
2014,630,"Southern Regional","ahec",913874,6.89
2015,626,"Southern Regional","ahec",915808,6.84
2016,620,"Southern Regional","ahec",918447,6.75
2017,621,"Southern Regional","ahec",921525,6.74
2011,1642,"Wake AHEC","ahec",1657781,9.9
2012,1666,"Wake AHEC","ahec",1686053,9.88
2013,1645,"Wake AHEC","ahec",1712629,9.61
2014,1666,"Wake AHEC","ahec",1742928,9.56
2015,1679,"Wake AHEC","ahec",1776174,9.45
2016,1713,"Wake AHEC","ahec",1806644,9.48
2017,1766,"Wake AHEC","ahec",1840349,9.6
