"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,193,"Area L","ahec",296296,6.51,0.4611,0.0674,0.057
2001,185,"Area L","ahec",296584,6.24,0.4703,0.0811,0.0432
2002,193,"Area L","ahec",298557,6.46,0.4819,0.0725,0.0466
2003,191,"Area L","ahec",300530,6.36,0.4607,0.0942,0.0366
2004,191,"Area L","ahec",299402,6.38,0.4817,0.089,0.0366
2005,193,"Area L","ahec",299977,6.43,0.4819,0.0829,0.0311
2006,201,"Area L","ahec",299459,6.71,0.5224,0.0846,0.0448
2007,202,"Area L","ahec",299285,6.75,0.5099,0.0891,0.0396
2008,209,"Area L","ahec",301094,6.94,0.5167,0.0861,0.0526
2009,222,"Area L","ahec",303354,7.32,0.5225,0.0856,0.0721
2010,219,"Area L","ahec",311268,7.04,0.5616,0.0639,0.0639
2011,232,"Area L","ahec",309832,7.49,0.569,0.0603,0.069
2012,225,"Area L","ahec",309165,7.28,0.5911,0.0711,0.0667
2013,227,"Area L","ahec",306794,7.4,0.6079,0.0749,0.0749
2014,235,"Area L","ahec",305841,7.68,0.634,0.0979,0.0851
2015,238,"Area L","ahec",303922,7.83,0.6303,0.1134,0.084
2016,240,"Area L","ahec",302629,7.93,0.6375,0.1083,0.075
2017,248,"Area L","ahec",301780,8.22,0.6653,0.1129,0.0806
2000,1185,"Charlotte","ahec",1384001,8.56,0.5249,0.0397,0.0751
2001,1208,"Charlotte","ahec",1419589,8.51,0.5356,0.0472,0.0778
2002,1204,"Charlotte","ahec",1452485,8.29,0.539,0.0324,0.0797
2003,1208,"Charlotte","ahec",1485382,8.13,0.5464,0.0348,0.0811
2004,1296,"Charlotte","ahec",1510434,8.58,0.5532,0.0409,0.0833
2005,1322,"Charlotte","ahec",1539732,8.59,0.5711,0.0431,0.0991
2006,1412,"Charlotte","ahec",1605915,8.79,0.5652,0.0432,0.1013
2007,1504,"Charlotte","ahec",1665257,9.03,0.5725,0.0472,0.1031
2008,1638,"Charlotte","ahec",1701378,9.63,0.5781,0.0458,0.1154
2009,1603,"Charlotte","ahec",1732010,9.26,0.5814,0.0505,0.1073
2010,1598,"Charlotte","ahec",1776565,8.99,0.5889,0.0463,0.107
2011,1720,"Charlotte","ahec",1799166,9.56,0.589,0.036,0.1145
2012,1863,"Charlotte","ahec",1827256,10.2,0.6039,0.0386,0.1143
2013,1909,"Charlotte","ahec",1863538,10.24,0.6139,0.0398,0.1184
2014,2058,"Charlotte","ahec",1896573,10.85,0.6234,0.0437,0.1205
2015,2215,"Charlotte","ahec",1930604,11.47,0.6248,0.0406,0.1196
2016,2318,"Charlotte","ahec",1961268,11.82,0.6242,0.041,0.1122
2017,2195,"Charlotte","ahec",1999372,10.98,0.6191,0.0387,0.1153
2000,682,"Eastern","ahec",913210,7.47,0.4795,0.0645,0.0337
2001,674,"Eastern","ahec",914567,7.37,0.4763,0.0727,0.0401
2002,689,"Eastern","ahec",923021,7.46,0.4935,0.0639,0.0392
2003,703,"Eastern","ahec",931473,7.55,0.4936,0.0697,0.0427
2004,718,"Eastern","ahec",947271,7.58,0.5014,0.0752,0.0432
2005,713,"Eastern","ahec",957168,7.45,0.5035,0.0757,0.0435
2006,723,"Eastern","ahec",967485,7.47,0.5104,0.0788,0.0387
2007,757,"Eastern","ahec",1002600,7.55,0.5139,0.0766,0.041
2008,778,"Eastern","ahec",995121,7.82,0.5154,0.0861,0.0386
2009,810,"Eastern","ahec",1007683,8.04,0.5173,0.084,0.037
2010,815,"Eastern","ahec",1035493,7.87,0.5313,0.0761,0.0405
2011,827,"Eastern","ahec",1044211,7.92,0.555,0.0677,0.0411
2012,865,"Eastern","ahec",1055120,8.2,0.5711,0.0844,0.0405
2013,909,"Eastern","ahec",1059704,8.58,0.5743,0.077,0.044
2014,921,"Eastern","ahec",1060701,8.68,0.5809,0.0738,0.0521
2015,988,"Eastern","ahec",1062244,9.3,0.5881,0.0769,0.0557
2016,1017,"Eastern","ahec",1061127,9.58,0.5959,0.0895,0.0531
2017,1013,"Eastern","ahec",1064705,9.51,0.6032,0.0849,0.0563
2000,872,"Greensboro","ahec",992109,8.79,0.4989,0.0459,0.039
2001,909,"Greensboro","ahec",1004145,9.05,0.5171,0.044,0.0484
2002,935,"Greensboro","ahec",1022139,9.15,0.5187,0.0524,0.0492
2003,928,"Greensboro","ahec",1040135,8.92,0.5323,0.0539,0.0539
2004,928,"Greensboro","ahec",1037038,8.95,0.5409,0.0603,0.0485
2005,922,"Greensboro","ahec",1036988,8.89,0.5347,0.0672,0.0466
2006,982,"Greensboro","ahec",1051795,9.34,0.5458,0.0642,0.0499
2007,989,"Greensboro","ahec",1072610,9.22,0.549,0.0819,0.0475
2008,1027,"Greensboro","ahec",1088392,9.44,0.556,0.0828,0.0506
2009,1039,"Greensboro","ahec",1105017,9.4,0.5553,0.0847,0.0529
2010,1084,"Greensboro","ahec",1127674,9.61,0.5673,0.071,0.0507
2011,1110,"Greensboro","ahec",1136068,9.77,0.5793,0.0667,0.0505
2012,1189,"Greensboro","ahec",1147212,10.36,0.587,0.074,0.0547
2013,1176,"Greensboro","ahec",1154755,10.18,0.591,0.0774,0.0578
2014,1228,"Greensboro","ahec",1163764,10.55,0.5953,0.0733,0.0611
2015,1355,"Greensboro","ahec",1173064,11.55,0.5985,0.0694,0.0605
2016,1417,"Greensboro","ahec",1180482,12,0.5992,0.0699,0.0642
2017,1370,"Greensboro","ahec",1190264,11.51,0.6131,0.0745,0.065
2000,518,"Mountain","ahec",672306,7.7,0.39,0.0792,0.0039
2001,530,"Mountain","ahec",681837,7.77,0.3981,0.0868,0.0057
2002,542,"Mountain","ahec",692197,7.83,0.4207,0.0793,0.0092
2003,558,"Mountain","ahec",702555,7.94,0.4229,0.0932,0.0108
2004,582,"Mountain","ahec",703634,8.27,0.4296,0.0979,0.012
2005,598,"Mountain","ahec",709033,8.43,0.4431,0.112,0.0151
2006,608,"Mountain","ahec",717342,8.48,0.4441,0.1151,0.0148
2007,628,"Mountain","ahec",706233,8.89,0.4506,0.1146,0.0159
2008,661,"Mountain","ahec",732921,9.02,0.4675,0.1225,0.0182
2009,676,"Mountain","ahec",739965,9.14,0.4837,0.1272,0.0222
2010,669,"Mountain","ahec",761986,8.78,0.4828,0.1106,0.0224
2011,717,"Mountain","ahec",770362,9.31,0.5007,0.0921,0.0209
2012,750,"Mountain","ahec",769642,9.74,0.5187,0.088,0.0227
2013,768,"Mountain","ahec",776064,9.9,0.5273,0.0872,0.0247
2014,804,"Mountain","ahec",781867,10.28,0.5211,0.0896,0.0311
2015,840,"Mountain","ahec",789383,10.64,0.5381,0.0893,0.0321
2016,896,"Mountain","ahec",799550,11.21,0.5525,0.0971,0.0335
2017,906,"Mountain","ahec",807857,11.21,0.5552,0.1104,0.0342
2000,1099,"Northwest","ahec",1395832,7.87,0.4477,0.0582,0.02
2001,1120,"Northwest","ahec",1416307,7.91,0.4527,0.067,0.0205
2002,1159,"Northwest","ahec",1437391,8.06,0.4633,0.0613,0.0233
2003,1173,"Northwest","ahec",1458480,8.04,0.4638,0.0716,0.0239
2004,1192,"Northwest","ahec",1459487,8.17,0.4664,0.0797,0.0218
2005,1238,"Northwest","ahec",1464768,8.45,0.4725,0.0864,0.0283
2006,1248,"Northwest","ahec",1484611,8.41,0.4888,0.0833,0.0361
2007,1297,"Northwest","ahec",1504826,8.62,0.5058,0.0825,0.0409
2008,1349,"Northwest","ahec",1524295,8.85,0.5107,0.0919,0.0393
2009,1363,"Northwest","ahec",1546737,8.81,0.5165,0.0888,0.0396
2010,1376,"Northwest","ahec",1558340,8.83,0.5189,0.0828,0.0378
2011,1436,"Northwest","ahec",1563589,9.18,0.5327,0.0662,0.0376
2012,1504,"Northwest","ahec",1566740,9.6,0.5372,0.0778,0.0406
2013,1515,"Northwest","ahec",1571258,9.64,0.5498,0.0812,0.0442
2014,1593,"Northwest","ahec",1579059,10.09,0.5562,0.0829,0.0483
2015,1661,"Northwest","ahec",1586703,10.47,0.5587,0.0855,0.0506
2016,1699,"Northwest","ahec",1598199,10.63,0.5656,0.0883,0.0536
2017,1901,"Northwest","ahec",1610400,11.8,0.575,0.0863,0.0605
2000,334,"South East","ahec",378344,8.83,0.4671,0.0629,0.009
2001,346,"South East","ahec",387182,8.94,0.474,0.0665,0.0058
2002,348,"South East","ahec",395768,8.79,0.4741,0.0632,0.0144
2003,340,"South East","ahec",404351,8.41,0.4971,0.0676,0.0176
2004,347,"South East","ahec",408125,8.5,0.4957,0.072,0.0231
2005,359,"South East","ahec",418333,8.58,0.4903,0.0836,0.0195
2006,369,"South East","ahec",435180,8.48,0.4959,0.0813,0.0163
2007,385,"South East","ahec",447385,8.61,0.4987,0.0805,0.0234
2008,406,"South East","ahec",455190,8.92,0.5222,0.0887,0.0172
2009,405,"South East","ahec",464312,8.72,0.521,0.1086,0.0222
2010,422,"South East","ahec",481052,8.77,0.5332,0.0972,0.0213
2011,439,"South East","ahec",487484,9.01,0.5649,0.0797,0.0228
2012,471,"South East","ahec",494872,9.52,0.5541,0.1019,0.0234
2013,472,"South East","ahec",502936,9.38,0.5805,0.0996,0.0275
2014,516,"South East","ahec",509080,10.14,0.5891,0.1085,0.0252
2015,531,"South East","ahec",518781,10.24,0.6008,0.1224,0.0207
2016,541,"South East","ahec",527596,10.25,0.5896,0.1183,0.0203
2017,507,"South East","ahec",536440,9.45,0.5976,0.1144,0.0276
2000,478,"Southern Regional","ahec",800743,5.97,0.4707,0.0732,0.0774
2001,483,"Southern Regional","ahec",805745,5.99,0.4762,0.0745,0.0787
2002,498,"Southern Regional","ahec",819180,6.08,0.4799,0.0723,0.0723
2003,508,"Southern Regional","ahec",832613,6.1,0.4862,0.0728,0.0709
2004,510,"Southern Regional","ahec",836143,6.1,0.5078,0.0706,0.0706
2005,532,"Southern Regional","ahec",842634,6.31,0.5113,0.0789,0.0789
2006,529,"Southern Regional","ahec",844402,6.26,0.518,0.087,0.0794
2007,550,"Southern Regional","ahec",856935,6.42,0.5291,0.0818,0.0836
2008,559,"Southern Regional","ahec",868197,6.44,0.5331,0.1073,0.093
2009,585,"Southern Regional","ahec",879444,6.65,0.5453,0.094,0.0923
2010,577,"Southern Regional","ahec",888443,6.49,0.5598,0.0867,0.1005
2011,634,"Southern Regional","ahec",900751,7.04,0.5741,0.0726,0.1041
2012,687,"Southern Regional","ahec",909169,7.56,0.5895,0.0786,0.1106
2013,704,"Southern Regional","ahec",914274,7.7,0.6094,0.0668,0.1094
2014,721,"Southern Regional","ahec",913874,7.89,0.6089,0.068,0.1082
2015,748,"Southern Regional","ahec",915808,8.17,0.6083,0.0668,0.119
2016,770,"Southern Regional","ahec",918447,8.38,0.6273,0.0675,0.1299
2017,838,"Southern Regional","ahec",921525,9.09,0.6229,0.0692,0.1372
2000,1556,"Wake AHEC","ahec",1216472,12.79,0.5855,0.0308,0.0437
2001,1605,"Wake AHEC","ahec",1261899,12.72,0.59,0.033,0.0455
2002,1615,"Wake AHEC","ahec",1296091,12.46,0.6,0.0297,0.0489
2003,1609,"Wake AHEC","ahec",1330283,12.1,0.6103,0.0342,0.0497
2004,1682,"Wake AHEC","ahec",1360676,12.36,0.607,0.0369,0.0553
2005,1741,"Wake AHEC","ahec",1395041,12.48,0.6117,0.0402,0.0528
2006,1801,"Wake AHEC","ahec",1454152,12.39,0.618,0.0394,0.0583
2007,1859,"Wake AHEC","ahec",1514267,12.28,0.6245,0.0393,0.0613
2008,1951,"Wake AHEC","ahec",1560428,12.5,0.6269,0.0446,0.0677
