"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,649,"Area L","ahec",296296,21.9,0.9507,0.0539,0.3236
2001,635,"Area L","ahec",296584,21.41,0.937,0.0457,0.2866
2002,604,"Area L","ahec",298557,20.23,0.9685,0.0563,0.3146
2003,638,"Area L","ahec",300530,21.23,0.9655,0.0502,0.337
2004,650,"Area L","ahec",299402,21.71,0.9569,0.0369,0.3523
2005,639,"Area L","ahec",299977,21.3,0.9531,0.0438,0.3615
2006,673,"Area L","ahec",299459,22.47,0.9539,0.0446,0.3759
2007,692,"Area L","ahec",299285,23.12,0.9552,0.0506,0.3844
2008,696,"Area L","ahec",301094,23.12,0.9583,0.056,0.4023
2009,682,"Area L","ahec",303354,22.48,0.9589,0.0528,0.4091
2010,696,"Area L","ahec",311268,22.36,0.9641,0.0431,0.4195
2011,719,"Area L","ahec",309832,23.21,0.9666,0.0487,0.4117
2012,707,"Area L","ahec",309165,22.87,0.9703,0.058,0.4031
2013,676,"Area L","ahec",306794,22.03,0.963,0.0577,0.4201
2014,691,"Area L","ahec",305841,22.59,0.958,0.0651,0.4313
2015,650,"Area L","ahec",303922,21.39,0.9615,0.0615,0.44
2016,658,"Area L","ahec",302629,21.74,0.9605,0.0532,0.4483
2017,663,"Area L","ahec",301780,21.97,0.9623,0.0633,0.4706
2000,2321,"Charlotte","ahec",1384001,16.77,0.9647,0.0336,0.2645
2001,2443,"Charlotte","ahec",1419589,17.21,0.9468,0.0323,0.28
2002,2296,"Charlotte","ahec",1452485,15.81,0.9599,0.027,0.274
2003,2320,"Charlotte","ahec",1485382,15.62,0.9578,0.0293,0.2806
2004,2344,"Charlotte","ahec",1510434,15.52,0.9578,0.032,0.2786
2005,2427,"Charlotte","ahec",1539732,15.76,0.9584,0.0379,0.2938
2006,2466,"Charlotte","ahec",1605915,15.36,0.9558,0.043,0.3159
2007,2561,"Charlotte","ahec",1665257,15.38,0.9492,0.0441,0.3229
2008,2647,"Charlotte","ahec",1701378,15.56,0.9479,0.0491,0.3241
2009,2688,"Charlotte","ahec",1732010,15.52,0.9472,0.048,0.3408
2010,2686,"Charlotte","ahec",1776565,15.12,0.9423,0.0462,0.3459
2011,2705,"Charlotte","ahec",1799166,15.03,0.939,0.0462,0.3497
2012,2778,"Charlotte","ahec",1827256,15.2,0.9449,0.0472,0.3603
2013,2745,"Charlotte","ahec",1863538,14.73,0.9457,0.0503,0.3621
2014,2747,"Charlotte","ahec",1896573,14.48,0.9476,0.0531,0.3746
2015,2775,"Charlotte","ahec",1930604,14.37,0.9463,0.0523,0.3877
2016,2885,"Charlotte","ahec",1961268,14.71,0.9456,0.052,0.4007
2017,2988,"Charlotte","ahec",1999372,14.94,0.9461,0.0552,0.4137
2000,2203,"Eastern","ahec",913210,24.12,0.97,0.0395,0.2438
2001,2206,"Eastern","ahec",914567,24.12,0.9515,0.0471,0.2384
2002,2113,"Eastern","ahec",923021,22.89,0.9669,0.0431,0.2513
2003,2106,"Eastern","ahec",931473,22.61,0.9706,0.0461,0.2521
2004,2117,"Eastern","ahec",947271,22.35,0.9698,0.0458,0.2593
2005,2131,"Eastern","ahec",957168,22.26,0.9704,0.0446,0.2637
2006,2163,"Eastern","ahec",967485,22.36,0.9686,0.0481,0.2635
2007,2146,"Eastern","ahec",1002600,21.4,0.9683,0.0471,0.2749
2008,2187,"Eastern","ahec",995121,21.98,0.9666,0.0558,0.2862
2009,2187,"Eastern","ahec",1007683,21.7,0.9625,0.0549,0.2794
2010,2127,"Eastern","ahec",1035493,20.54,0.9624,0.055,0.2774
2011,2090,"Eastern","ahec",1044211,20.02,0.9641,0.0507,0.2842
2012,2133,"Eastern","ahec",1055120,20.22,0.9648,0.0563,0.2982
2013,2118,"Eastern","ahec",1059704,19.99,0.9632,0.0576,0.3041
2014,2076,"Eastern","ahec",1060701,19.57,0.9605,0.0602,0.3025
2015,2068,"Eastern","ahec",1062244,19.47,0.9628,0.0585,0.3042
2016,2049,"Eastern","ahec",1061127,19.31,0.9634,0.0625,0.3172
2017,2079,"Eastern","ahec",1064705,19.53,0.9615,0.0649,0.3194
2000,1719,"Greensboro","ahec",992109,17.33,0.9395,0.0553,0.2659
2001,1683,"Greensboro","ahec",1004145,16.76,0.9418,0.0463,0.262
2002,1635,"Greensboro","ahec",1022139,16,0.9511,0.0532,0.2734
2003,1604,"Greensboro","ahec",1040135,15.42,0.9532,0.0599,0.2843
2004,1580,"Greensboro","ahec",1037038,15.24,0.9519,0.0608,0.2892
2005,1555,"Greensboro","ahec",1036988,15,0.946,0.0585,0.2817
2006,1609,"Greensboro","ahec",1051795,15.3,0.9416,0.0653,0.294
2007,1612,"Greensboro","ahec",1072610,15.03,0.9473,0.0608,0.2978
2008,1668,"Greensboro","ahec",1088392,15.33,0.9472,0.0606,0.3064
2009,1714,"Greensboro","ahec",1105017,15.51,0.9457,0.0583,0.3046
2010,1719,"Greensboro","ahec",1127674,15.24,0.9465,0.0547,0.3031
2011,1744,"Greensboro","ahec",1136068,15.35,0.9381,0.0499,0.3131
2012,1761,"Greensboro","ahec",1147212,15.35,0.9387,0.0528,0.3294
2013,1713,"Greensboro","ahec",1154755,14.83,0.9352,0.0572,0.3368
2014,1676,"Greensboro","ahec",1163764,14.4,0.9332,0.0519,0.3311
2015,1749,"Greensboro","ahec",1173064,14.91,0.9342,0.0537,0.3522
2016,1779,"Greensboro","ahec",1180482,15.07,0.9337,0.0618,0.3856
2017,1846,"Greensboro","ahec",1190264,15.51,0.9328,0.0666,0.3759
2000,2020,"Mountain","ahec",672306,30.05,0.9386,0.0406,0.0559
2001,2067,"Mountain","ahec",681837,30.32,0.9357,0.0411,0.2008
2002,1950,"Mountain","ahec",692197,28.17,0.9431,0.0374,0.0662
2003,1935,"Mountain","ahec",702555,27.54,0.9478,0.0398,0.0625
2004,1911,"Mountain","ahec",703634,27.16,0.9445,0.0403,0.0612
2005,1883,"Mountain","ahec",709033,26.56,0.9411,0.0473,0.0648
2006,1923,"Mountain","ahec",717342,26.81,0.9376,0.0463,0.0629
2007,1913,"Mountain","ahec",706233,27.09,0.9331,0.0491,0.0622
2008,1905,"Mountain","ahec",732921,25.99,0.936,0.0588,0.063
2009,1886,"Mountain","ahec",739965,25.49,0.9385,0.0578,0.0626
2010,1854,"Mountain","ahec",761986,24.33,0.9396,0.0577,0.0599
2011,1854,"Mountain","ahec",770362,24.07,0.9337,0.0583,0.0577
2012,1811,"Mountain","ahec",769642,23.53,0.9288,0.0607,0.058
2013,1756,"Mountain","ahec",776064,22.63,0.9243,0.0592,0.0621
2014,1763,"Mountain","ahec",781867,22.55,0.9263,0.0681,0.0692
2015,1704,"Mountain","ahec",789383,21.59,0.9272,0.0646,0.071
2016,1635,"Mountain","ahec",799550,20.45,0.9254,0.0716,0.0691
2017,1572,"Mountain","ahec",807857,19.46,0.9218,0.0719,0.0725
2000,3103,"Northwest","ahec",1395832,22.23,0.9504,0.0464,0.1308
2001,3209,"Northwest","ahec",1416307,22.66,0.9498,0.0396,0.2197
2002,2958,"Northwest","ahec",1437391,20.58,0.9547,0.0473,0.1356
2003,2919,"Northwest","ahec",1458480,20.01,0.9558,0.0507,0.1425
2004,2889,"Northwest","ahec",1459487,19.79,0.9547,0.053,0.144
2005,2823,"Northwest","ahec",1464768,19.27,0.9522,0.0517,0.1435
2006,2826,"Northwest","ahec",1484611,19.04,0.9533,0.0538,0.1447
2007,2821,"Northwest","ahec",1504826,18.75,0.9511,0.0525,0.1517
2008,2859,"Northwest","ahec",1524295,18.76,0.9549,0.063,0.1567
2009,2864,"Northwest","ahec",1546737,18.52,0.9511,0.0583,0.1526
2010,2835,"Northwest","ahec",1558340,18.19,0.9474,0.0582,0.1552
2011,2821,"Northwest","ahec",1563589,18.04,0.9419,0.0578,0.1638
2012,2803,"Northwest","ahec",1566740,17.89,0.9379,0.0571,0.1623
2013,2871,"Northwest","ahec",1571258,18.27,0.9394,0.0578,0.1661
2014,2855,"Northwest","ahec",1579059,18.08,0.937,0.0613,0.1741
2015,2913,"Northwest","ahec",1586703,18.36,0.9382,0.0608,0.1785
2016,2948,"Northwest","ahec",1598199,18.45,0.9417,0.0665,0.1774
2017,2883,"Northwest","ahec",1610400,17.9,0.939,0.0739,0.1828
2000,929,"South East","ahec",378344,24.55,0.9602,0.0409,0.1615
2001,956,"South East","ahec",387182,24.69,0.9372,0.0282,0.2092
2002,953,"South East","ahec",395768,24.08,0.9696,0.0441,0.1417
2003,997,"South East","ahec",404351,24.66,0.9669,0.0431,0.1535
2004,1007,"South East","ahec",408125,24.67,0.9633,0.0377,0.1559
2005,1041,"South East","ahec",418333,24.88,0.9597,0.0432,0.1518
2006,1037,"South East","ahec",435180,23.83,0.9624,0.0521,0.1562
2007,1035,"South East","ahec",447385,23.13,0.9623,0.0541,0.1623
2008,1044,"South East","ahec",455190,22.94,0.9579,0.0565,0.1734
2009,1039,"South East","ahec",464312,22.38,0.9596,0.0549,0.1617
2010,1062,"South East","ahec",481052,22.08,0.9605,0.0518,0.1798
