"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,48,"Area L","ahec",296296,1.62,0.9375,0,0.0417
2001,47,"Area L","ahec",296584,1.58,0.8723,0,0.0638
2002,48,"Area L","ahec",298557,1.61,0.8958,0,0.0833
2003,51,"Area L","ahec",300530,1.7,0.8627,0,0.098
2004,52,"Area L","ahec",299402,1.74,0.8654,0,0.0769
2005,48,"Area L","ahec",299977,1.6,0.8958,0.0208,0.0833
2006,50,"Area L","ahec",299459,1.67,0.88,0.04,0.1
2007,51,"Area L","ahec",299285,1.7,0.9216,0.0392,0.0784
2008,54,"Area L","ahec",301094,1.79,0.8889,0.037,0.1296
2009,61,"Area L","ahec",303354,2.01,0.918,0.0328,0.1311
2010,70,"Area L","ahec",311268,2.25,0.9143,0.0286,0.1571
2011,70,"Area L","ahec",309832,2.26,0.9429,0.0429,0.1857
2012,70,"Area L","ahec",309165,2.26,0.9429,0.0286,0.2
2013,76,"Area L","ahec",306794,2.48,0.9079,0.0526,0.2105
2014,91,"Area L","ahec",305841,2.98,0.9231,0.0659,0.1978
2015,108,"Area L","ahec",303922,3.55,0.9074,0.0741,0.1574
2016,107,"Area L","ahec",302629,3.54,0.9065,0.0748,0.1776
2017,118,"Area L","ahec",301780,3.91,0.9068,0.0763,0.1864
2000,222,"Charlotte","ahec",1384001,1.6,0.973,0,0.0631
2001,265,"Charlotte","ahec",1419589,1.87,0.966,0,0.0604
2002,287,"Charlotte","ahec",1452485,1.98,0.9582,0.0035,0.0592
2003,306,"Charlotte","ahec",1485382,2.06,0.9379,0,0.0556
2004,343,"Charlotte","ahec",1510434,2.27,0.9359,0.0029,0.0525
2005,388,"Charlotte","ahec",1539732,2.52,0.9433,0.0026,0.0541
2006,442,"Charlotte","ahec",1605915,2.75,0.9457,0.0068,0.0633
2007,497,"Charlotte","ahec",1665257,2.98,0.9457,0.0161,0.0805
2008,546,"Charlotte","ahec",1701378,3.21,0.9469,0.0183,0.1007
2009,571,"Charlotte","ahec",1732010,3.3,0.9475,0.0228,0.0963
2010,609,"Charlotte","ahec",1776565,3.43,0.9475,0.0181,0.1084
2011,675,"Charlotte","ahec",1799166,3.75,0.9481,0.0193,0.123
2012,734,"Charlotte","ahec",1827256,4.02,0.9469,0.0163,0.1349
2013,813,"Charlotte","ahec",1863538,4.36,0.9471,0.0209,0.1501
2014,972,"Charlotte","ahec",1896573,5.13,0.9444,0.0267,0.1564
2015,1148,"Charlotte","ahec",1930604,5.95,0.9495,0.0296,0.1568
2016,1222,"Charlotte","ahec",1961268,6.23,0.946,0.0327,0.1604
2017,1323,"Charlotte","ahec",1999372,6.62,0.9388,0.037,0.1625
2000,181,"Eastern","ahec",913210,1.98,0.9503,0.0166,0.0718
2001,214,"Eastern","ahec",914567,2.34,0.9486,0.0187,0.0654
2002,225,"Eastern","ahec",923021,2.44,0.96,0.0133,0.0578
2003,253,"Eastern","ahec",931473,2.72,0.9486,0.0119,0.0632
2004,259,"Eastern","ahec",947271,2.73,0.9498,0.0039,0.0695
2005,274,"Eastern","ahec",957168,2.86,0.9343,0.0073,0.0693
2006,277,"Eastern","ahec",967485,2.86,0.935,0.0181,0.0722
2007,302,"Eastern","ahec",1002600,3.01,0.9272,0.0166,0.0728
2008,317,"Eastern","ahec",995121,3.19,0.9211,0.0221,0.0757
2009,355,"Eastern","ahec",1007683,3.52,0.9155,0.0225,0.0845
2010,380,"Eastern","ahec",1035493,3.67,0.9132,0.0211,0.0842
2011,415,"Eastern","ahec",1044211,3.97,0.9108,0.0217,0.0867
2012,433,"Eastern","ahec",1055120,4.1,0.9053,0.03,0.0785
2013,451,"Eastern","ahec",1059704,4.26,0.9091,0.0355,0.0887
2014,500,"Eastern","ahec",1060701,4.71,0.914,0.04,0.082
2015,551,"Eastern","ahec",1062244,5.19,0.9238,0.0399,0.1125
2016,551,"Eastern","ahec",1061127,5.19,0.9328,0.0472,0.1343
2017,585,"Eastern","ahec",1064705,5.49,0.9316,0.0581,0.1316
2000,253,"Greensboro","ahec",992109,2.55,0.9526,0.0119,0.0791
2001,273,"Greensboro","ahec",1004145,2.72,0.956,0.0037,0.0806
2002,306,"Greensboro","ahec",1022139,2.99,0.9444,0.0033,0.0915
2003,315,"Greensboro","ahec",1040135,3.03,0.9429,0.0127,0.0921
2004,334,"Greensboro","ahec",1037038,3.22,0.9431,0.009,0.0928
2005,332,"Greensboro","ahec",1036988,3.2,0.9488,0.0151,0.0964
2006,371,"Greensboro","ahec",1051795,3.53,0.9461,0.0054,0.0889
2007,413,"Greensboro","ahec",1072610,3.85,0.9492,0.0121,0.0872
2008,430,"Greensboro","ahec",1088392,3.95,0.9442,0.0116,0.0791
2009,454,"Greensboro","ahec",1105017,4.11,0.9537,0.022,0.0969
2010,499,"Greensboro","ahec",1127674,4.43,0.9539,0.018,0.1002
2011,528,"Greensboro","ahec",1136068,4.65,0.9489,0.0265,0.1193
2012,537,"Greensboro","ahec",1147212,4.68,0.9441,0.0261,0.1229
2013,609,"Greensboro","ahec",1154755,5.27,0.9475,0.0312,0.1297
2014,700,"Greensboro","ahec",1163764,6.01,0.95,0.0371,0.1329
2015,730,"Greensboro","ahec",1173064,6.22,0.9438,0.0342,0.1411
2016,756,"Greensboro","ahec",1180482,6.4,0.9418,0.041,0.1296
2017,799,"Greensboro","ahec",1190264,6.71,0.9387,0.0501,0.1327
2000,163,"Mountain","ahec",672306,2.42,0.9325,0.0061,0.0245
2001,169,"Mountain","ahec",681837,2.48,0.929,0.0118,0.0355
2002,174,"Mountain","ahec",692197,2.51,0.931,0.0115,0.0345
2003,201,"Mountain","ahec",702555,2.86,0.9204,0.01,0.0299
2004,203,"Mountain","ahec",703634,2.89,0.931,0.0148,0.0197
2005,223,"Mountain","ahec",709033,3.15,0.9372,0.0179,0.0135
2006,228,"Mountain","ahec",717342,3.18,0.9474,0.0263,0.0088
2007,265,"Mountain","ahec",706233,3.75,0.917,0.0264,0.0264
2008,279,"Mountain","ahec",732921,3.81,0.9247,0.0251,0.0108
2009,303,"Mountain","ahec",739965,4.09,0.9208,0.033,0.0198
2010,316,"Mountain","ahec",761986,4.15,0.9114,0.0348,0.019
2011,353,"Mountain","ahec",770362,4.58,0.9122,0.0397,0.0227
2012,367,"Mountain","ahec",769642,4.77,0.9319,0.0354,0.03
2013,410,"Mountain","ahec",776064,5.28,0.9317,0.0317,0.022
2014,459,"Mountain","ahec",781867,5.87,0.9259,0.0414,0.0283
2015,534,"Mountain","ahec",789383,6.76,0.9251,0.0581,0.0318
2016,544,"Mountain","ahec",799550,6.8,0.9191,0.0662,0.0349
2017,593,"Mountain","ahec",807857,7.34,0.9191,0.0776,0.0337
2000,238,"Northwest","ahec",1395832,1.71,0.937,0.0252,0.0462
2001,258,"Northwest","ahec",1416307,1.82,0.938,0.0233,0.0426
2002,291,"Northwest","ahec",1437391,2.02,0.9244,0.0103,0.0447
2003,311,"Northwest","ahec",1458480,2.13,0.9421,0.0193,0.0418
2004,338,"Northwest","ahec",1459487,2.32,0.9201,0.0237,0.0533
2005,371,"Northwest","ahec",1464768,2.53,0.9326,0.027,0.0701
2006,422,"Northwest","ahec",1484611,2.84,0.9289,0.019,0.0829
2007,455,"Northwest","ahec",1504826,3.02,0.9297,0.0264,0.0901
2008,522,"Northwest","ahec",1524295,3.42,0.9349,0.0268,0.0977
2009,569,"Northwest","ahec",1546737,3.68,0.9332,0.0281,0.109
2010,613,"Northwest","ahec",1558340,3.93,0.9315,0.031,0.1093
2011,649,"Northwest","ahec",1563589,4.15,0.9307,0.0308,0.0924
2012,696,"Northwest","ahec",1566740,4.44,0.9282,0.033,0.1006
2013,795,"Northwest","ahec",1571258,5.06,0.9308,0.0377,0.1006
2014,892,"Northwest","ahec",1579059,5.65,0.9305,0.0336,0.1065
2015,972,"Northwest","ahec",1586703,6.13,0.9228,0.0329,0.0926
2016,959,"Northwest","ahec",1598199,6,0.926,0.0375,0.0949
2017,1048,"Northwest","ahec",1610400,6.51,0.9246,0.0458,0.0992
2000,89,"South East","ahec",378344,2.35,0.9326,0,0.0449
2001,101,"South East","ahec",387182,2.61,0.9307,0.0099,0.0594
2002,110,"South East","ahec",395768,2.78,0.9364,0,0.0636
2003,115,"South East","ahec",404351,2.84,0.9478,0.0174,0.0783
2004,119,"South East","ahec",408125,2.92,0.9328,0.0168,0.0756
2005,144,"South East","ahec",418333,3.44,0.9236,0.0208,0.0764
2006,146,"South East","ahec",435180,3.35,0.9247,0.0274,0.0479
2007,151,"South East","ahec",447385,3.38,0.9205,0.0265,0.0596
2008,159,"South East","ahec",455190,3.49,0.9182,0.0314,0.0566
2009,184,"South East","ahec",464312,3.96,0.9076,0.0217,0.0489
2010,196,"South East","ahec",481052,4.07,0.9082,0.0255,0.0561
2011,204,"South East","ahec",487484,4.18,0.9118,0.0294,0.0588
2012,219,"South East","ahec",494872,4.43,0.9132,0.0365,0.0548
2013,229,"South East","ahec",502936,4.55,0.9214,0.0437,0.0611
2014,258,"South East","ahec",509080,5.07,0.9264,0.0426,0.0659
2015,283,"South East","ahec",518781,5.46,0.9258,0.0459,0.0565
2016,295,"South East","ahec",527596,5.59,0.9119,0.0576,0.0814
2017,311,"South East","ahec",536440,5.8,0.9035,0.0675,0.0868
2000,125,"Southern Regional","ahec",800743,1.56,0.96,0,0.144
2001,147,"Southern Regional","ahec",805745,1.82,0.9524,0,0.1497
2002,149,"Southern Regional","ahec",819180,1.82,0.9597,0,0.1477
2003,158,"Southern Regional","ahec",832613,1.9,0.9684,0,0.1519
2004,162,"Southern Regional","ahec",836143,1.94,0.9691,0,0.1296
2005,166,"Southern Regional","ahec",842634,1.97,0.9578,0,0.1265
2006,165,"Southern Regional","ahec",844402,1.95,0.9636,0,0.1394
2007,189,"Southern Regional","ahec",856935,2.21,0.9524,0,0.1587
2008,207,"Southern Regional","ahec",868197,2.38,0.942,0.0048,0.1546
2009,216,"Southern Regional","ahec",879444,2.46,0.9444,0.0046,0.1713
2010,233,"Southern Regional","ahec",888443,2.62,0.9485,0.0172,0.1888
2011,248,"Southern Regional","ahec",900751,2.75,0.9516,0.0363,0.1895
2012,271,"Southern Regional","ahec",909169,2.98,0.9446,0.0332,0.214
2013,294,"Southern Regional","ahec",914274,3.22,0.932,0.051,0.2177
2014,342,"Southern Regional","ahec",913874,3.74,0.9211,0.0409,0.2339
2015,369,"Southern Regional","ahec",915808,4.03,0.935,0.0407,0.252
2016,385,"Southern Regional","ahec",918447,4.19,0.9247,0.0545,0.2597
2017,418,"Southern Regional","ahec",921525,4.54,0.9187,0.067,0.2679
2000,337,"Wake AHEC","ahec",1216472,2.77,0.9614,0.0089,0.0979
2001,371,"Wake AHEC","ahec",1261899,2.94,0.9542,0.0054,0.0889
2002,402,"Wake AHEC","ahec",1296091,3.1,0.9527,0.0149,0.107
2003,412,"Wake AHEC","ahec",1330283,3.1,0.9587,0.0121,0.0971
2004,446,"Wake AHEC","ahec",1360676,3.28,0.9484,0.0112,0.083
2005,494,"Wake AHEC","ahec",1395041,3.54,0.9474,0.0121,0.083
2006,540,"Wake AHEC","ahec",1454152,3.71,0.9444,0.0093,0.0796
2007,610,"Wake AHEC","ahec",1514267,4.03,0.9508,0.0066,0.0918
2008,636,"Wake AHEC","ahec",1560428,4.08,0.9528,0.0063,0.0849
2009,701,"Wake AHEC","ahec",1604088,4.37,0.9472,0.0043,0.0785
2010,763,"Wake AHEC","ahec",1631633,4.68,0.9436,0.0039,0.0878
2011,830,"Wake AHEC","ahec",1657781,5.01,0.9422,0.012,0.094
2012,917,"Wake AHEC","ahec",1686053,5.44,0.9455,0.0185,0.0949
2013,1019,"Wake AHEC","ahec",1712629,5.95,0.945,0.0177,0.1168
2014,1158,"Wake AHEC","ahec",1742928,6.64,0.937,0.0225,0.1174
2015,1271,"Wake AHEC","ahec",1776174,7.16,0.9378,0.0236,0.118
2016,1333,"Wake AHEC","ahec",1806644,7.38,0.9355,0.027,0.1178
2017,1449,"Wake AHEC","ahec",1840349,7.87,0.9351,0.0373,0.1201
2000,19,"Alamance","county",130800,1.45,0.9474,0.0526,0
2001,18,"Alamance","county",133598,1.35,1,0,0.0556
2002,22,"Alamance","county",136034,1.62,0.9545,0,0.0909
2003,21,"Alamance","county",138471,1.52,0.9524,0,0.0476
2004,26,"Alamance","county",138754,1.87,0.9615,0,0.0769
2005,26,"Alamance","county",138788,1.87,0.9615,0,0.0385
2006,25,"Alamance","county",139786,1.79,0.92,0,0.08
2007,32,"Alamance","county",143154,2.24,0.9375,0.0313,0.0625
2008,25,"Alamance","county",146025,1.71,0.88,0.04,0
2009,26,"Alamance","county",148361,1.75,0.9231,0.0385,0.0385
2010,27,"Alamance","county",151745,1.78,0.9259,0.037,0.037
2011,27,"Alamance","county",152531,1.77,0.9259,0.0741,0.1481
2012,31,"Alamance","county",153029,2.03,0.9355,0.0323,0.0968
2013,42,"Alamance","county",153595,2.73,0.9048,0.0238,0.1667
2014,47,"Alamance","county",155789,3.02,0.9574,0.0213,0.0851
2015,51,"Alamance","county",157522,3.24,0.9412,0,0.0784
2016,49,"Alamance","county",159054,3.08,0.9592,0,0.0816
2017,51,"Alamance","county",161076,3.17,0.9608,0,0.0784
2000,0,"Alexander","county",33603,0,-9,-9,-9
2001,0,"Alexander","county",33961,0,-9,-9,-9
2002,0,"Alexander","county",34626,0,-9,-9,-9
2003,0,"Alexander","county",35292,0,-9,-9,-9
2004,0,"Alexander","county",35165,0,-9,-9,-9
2005,1,"Alexander","county",35545,0.28,-9,-9,-9
2006,0,"Alexander","county",36296,0,-9,-9,-9
2007,1,"Alexander","county",36656,0.27,-9,-9,-9
2008,2,"Alexander","county",36957,0.54,-9,-9,-9
2009,2,"Alexander","county",37318,0.54,-9,-9,-9
2010,3,"Alexander","county",37254,0.81,-9,-9,-9
2011,6,"Alexander","county",37528,1.6,0.8333,0,0
2012,5,"Alexander","county",37389,1.34,0.8,0,0
2013,7,"Alexander","county",37436,1.87,0.8571,0,0.1429
2014,7,"Alexander","county",37832,1.85,0.7143,0,0.1429
2015,5,"Alexander","county",37952,1.32,0.6,0,0
2016,7,"Alexander","county",38284,1.83,0.7143,0.1429,0
2017,7,"Alexander","county",38452,1.82,0.7143,0.1429,0
2000,3,"Alleghany","county",10677,2.81,-9,-9,-9
2001,3,"Alleghany","county",10754,2.79,-9,-9,-9
2002,2,"Alleghany","county",10866,1.84,-9,-9,-9
2003,2,"Alleghany","county",10978,1.82,-9,-9,-9
2004,2,"Alleghany","county",10912,1.83,-9,-9,-9
2005,1,"Alleghany","county",10913,0.92,-9,-9,-9
2006,1,"Alleghany","county",11000,0.91,-9,-9,-9
2007,1,"Alleghany","county",11088,0.9,-9,-9,-9
2008,0,"Alleghany","county",11075,0,-9,-9,-9
2009,2,"Alleghany","county",11227,1.78,-9,-9,-9
2010,4,"Alleghany","county",11171,3.58,-9,-9,-9
2011,6,"Alleghany","county",11069,5.42,1,0,0
2012,6,"Alleghany","county",10971,5.47,1,0,0
2013,6,"Alleghany","county",11052,5.43,1,0,0
2014,5,"Alleghany","county",11099,4.5,1,0,0
2015,5,"Alleghany","county",11190,4.47,1,0,0
2016,5,"Alleghany","county",11202,4.46,1,0,0
2017,5,"Alleghany","county",11233,4.45,1,0,0
2000,2,"Anson","county",25275,0.79,-9,-9,-9
2001,2,"Anson","county",25323,0.79,-9,-9,-9
2002,2,"Anson","county",25496,0.78,-9,-9,-9
2003,2,"Anson","county",25671,0.78,-9,-9,-9
2004,2,"Anson","county",25384,0.79,-9,-9,-9
2005,4,"Anson","county",25848,1.55,-9,-9,-9
2006,3,"Anson","county",25372,1.18,-9,-9,-9
2007,2,"Anson","county",25332,0.79,-9,-9,-9
2008,0,"Anson","county",25368,0,-9,-9,-9
2009,2,"Anson","county",25193,0.79,-9,-9,-9
2010,1,"Anson","county",26973,0.37,-9,-9,-9
2011,2,"Anson","county",25822,0.77,-9,-9,-9
2012,1,"Anson","county",26626,0.38,-9,-9,-9
2013,2,"Anson","county",26318,0.76,-9,-9,-9
2014,4,"Anson","county",26468,1.51,-9,-9,-9
2015,5,"Anson","county",26155,1.91,1,0,0.2
2016,4,"Anson","county",25628,1.56,-9,-9,-9
2017,5,"Anson","county",25626,1.95,0.8,0,0.2
2000,4,"Ashe","county",24384,1.64,-9,-9,-9
2001,3,"Ashe","county",24799,1.21,-9,-9,-9
2002,3,"Ashe","county",24970,1.2,-9,-9,-9
2003,4,"Ashe","county",25142,1.59,-9,-9,-9
2004,5,"Ashe","county",25320,1.97,0.8,0,0
2005,4,"Ashe","county",25279,1.58,-9,-9,-9
2006,7,"Ashe","county",25778,2.72,0.8571,0,0
2007,5,"Ashe","county",26003,1.92,1,0,0
2008,7,"Ashe","county",26325,2.66,1,0,0
2009,8,"Ashe","county",26498,3.02,0.875,0,0
2010,7,"Ashe","county",27378,2.56,0.8571,0,0
2011,11,"Ashe","county",27423,4.01,0.9091,0,0
2012,15,"Ashe","county",27361,5.48,0.9333,0.0667,0
2013,12,"Ashe","county",27434,4.37,0.9167,0.25,0
2014,14,"Ashe","county",27448,5.1,0.9286,0.0714,0
2015,21,"Ashe","county",27332,7.68,0.9524,0.0476,0
2016,19,"Ashe","county",27344,6.95,0.9474,0.1053,0
2017,19,"Ashe","county",27218,6.98,0.9474,0.1579,0
2000,5,"Avery","county",17167,2.91,1,0.2,0.2
2001,7,"Avery","county",17706,3.95,1,0,0.1429
2002,7,"Avery","county",17844,3.92,1,0,0.1429
2003,5,"Avery","county",17980,2.78,1,0,0.2
2004,5,"Avery","county",18221,2.74,1,0,0
2005,5,"Avery","county",18195,2.75,1,0,0.2
2006,6,"Avery","county",18174,3.3,1,0,0.1667
2007,7,"Avery","county",18292,3.83,1,0,0.1429
2008,7,"Avery","county",18429,3.8,1,0,0.1429
2009,8,"Avery","county",18301,4.37,1,0,0.125
2010,7,"Avery","county",17812,3.93,0.8571,0,0.1429
2011,9,"Avery","county",17834,5.05,1,0,0.1111
2012,7,"Avery","county",17764,3.94,1,0,0.1429
2013,6,"Avery","county",17872,3.36,1,0,0.3333
2014,8,"Avery","county",17895,4.47,1,0,0.125
2015,8,"Avery","county",17816,4.49,1,0,0.125
2016,9,"Avery","county",18098,4.97,1,0,0.1111
2017,9,"Avery","county",18072,4.98,1,0.1111,0.1111
2000,7,"Beaufort","county",44958,1.56,1,0.1429,0
2001,8,"Beaufort","county",45340,1.76,0.875,0.125,0
2002,7,"Beaufort","county",45566,1.54,0.8571,0,0
2003,9,"Beaufort","county",45792,1.97,0.8889,0,0
2004,9,"Beaufort","county",45816,1.96,0.8889,0,0
2005,7,"Beaufort","county",46077,1.52,1,0,0
2006,13,"Beaufort","county",46344,2.81,1,0,0.1538
2007,13,"Beaufort","county",46070,2.82,1,0,0.1538
2008,17,"Beaufort","county",46600,3.65,0.8824,0,0.0588
2009,18,"Beaufort","county",47401,3.8,0.9444,0,0.1111
2010,17,"Beaufort","county",47929,3.55,0.9412,0,0.1176
2011,18,"Beaufort","county",47854,3.76,0.8889,0,0.1667
2012,23,"Beaufort","county",47901,4.8,0.8261,0,0.1304
2013,20,"Beaufort","county",47777,4.19,0.85,0,0.1
2014,19,"Beaufort","county",47717,3.98,0.8947,0.0526,0.1053
2015,21,"Beaufort","county",47829,4.39,0.9048,0.0476,0.1905
2016,20,"Beaufort","county",47610,4.2,0.9,0,0.3
2017,21,"Beaufort","county",47547,4.42,0.9048,0,0.2857
2000,3,"Bertie","county",19773,1.52,-9,-9,-9
2001,3,"Bertie","county",19857,1.51,-9,-9,-9
2002,2,"Bertie","county",19753,1.01,-9,-9,-9
2003,1,"Bertie","county",19649,0.51,-9,-9,-9
2004,1,"Bertie","county",19748,0.51,-9,-9,-9
2005,3,"Bertie","county",19700,1.52,-9,-9,-9
2006,3,"Bertie","county",19352,1.55,-9,-9,-9
2007,4,"Bertie","county",19971,2,-9,-9,-9
2008,4,"Bertie","county",20072,1.99,-9,-9,-9
2009,2,"Bertie","county",20104,0.99,-9,-9,-9
2010,4,"Bertie","county",21313,1.88,-9,-9,-9
2011,4,"Bertie","county",20890,1.91,-9,-9,-9
2012,3,"Bertie","county",20665,1.45,-9,-9,-9
2013,5,"Bertie","county",20595,2.43,0.6,0,0.2
2014,3,"Bertie","county",20617,1.46,-9,-9,-9
2015,4,"Bertie","county",20533,1.95,-9,-9,-9
2016,4,"Bertie","county",19847,2.02,-9,-9,-9
2017,4,"Bertie","county",19881,2.01,-9,-9,-9
2000,6,"Bladen","county",32278,1.86,0.8333,0,0.1667
2001,6,"Bladen","county",32416,1.85,0.8333,0,0.1667
2002,6,"Bladen","county",32819,1.83,0.8333,0,0.1667
2003,7,"Bladen","county",33222,2.11,0.8571,0,0.1429
2004,5,"Bladen","county",33119,1.51,0.8,0,0
2005,4,"Bladen","county",33204,1.2,-9,-9,-9
2006,5,"Bladen","county",32872,1.52,0.8,0,0
2007,3,"Bladen","county",32500,0.92,-9,-9,-9
2008,4,"Bladen","county",32184,1.24,-9,-9,-9
2009,5,"Bladen","county",32046,1.56,1,0,0
2010,9,"Bladen","county",35243,2.55,1,0,0.1111
2011,11,"Bladen","county",35148,3.13,1,0,0.1818
2012,12,"Bladen","county",35200,3.41,1,0,0.0833
2013,12,"Bladen","county",35209,3.41,0.9167,0,0.1667
2014,15,"Bladen","county",35113,4.27,0.9333,0,0.2667
2015,15,"Bladen","county",35011,4.28,0.9333,0,0.2
2016,10,"Bladen","county",34667,2.88,0.9,0,0.3
2017,12,"Bladen","county",34393,3.49,0.8333,0,0.3333
2000,8,"Brunswick","county",73143,1.09,1,0,0.125
2001,8,"Brunswick","county",76892,1.04,1,0,0
2002,11,"Brunswick","county",78822,1.4,1,0,0.0909
2003,8,"Brunswick","county",80751,0.99,1,0,0.125
2004,8,"Brunswick","county",83787,0.95,1,0,0.125
2005,14,"Brunswick","county",87715,1.6,1,0.0714,0.0714
2006,16,"Brunswick","county",94964,1.68,0.9375,0.0625,0.0625
2007,18,"Brunswick","county",99440,1.81,0.8333,0.0556,0.0556
2008,19,"Brunswick","county",102877,1.85,0.8421,0.0526,0
2009,21,"Brunswick","county",107135,1.96,0.8571,0.0476,0
2010,25,"Brunswick","county",108176,2.31,0.96,0.04,0
2011,29,"Brunswick","county",110140,2.63,0.931,0.0345,0
2012,38,"Brunswick","county",112597,3.37,0.9211,0.0263,0.0263
2013,44,"Brunswick","county",115716,3.8,0.9318,0.0682,0.0227
2014,39,"Brunswick","county",117834,3.31,0.9487,0.0769,0
2015,42,"Brunswick","county",123535,3.4,0.9286,0.1429,0.0238
2016,43,"Brunswick","county",127750,3.37,0.907,0.1628,0.0465
2017,44,"Brunswick","county",131726,3.34,0.9091,0.2045,0.0455
2000,75,"Buncombe","county",206330,3.63,0.9467,0,0.0267
2001,78,"Buncombe","county",208593,3.74,0.9231,0.0128,0.0385
2002,78,"Buncombe","county",212044,3.68,0.9359,0.0128,0.0385
2003,94,"Buncombe","county",215496,4.36,0.9255,0.0106,0.0213
2004,92,"Buncombe","county",215468,4.27,0.913,0.0109,0.0217
2005,102,"Buncombe","county",217423,4.69,0.9314,0,0.0098
2006,107,"Buncombe","county",221327,4.83,0.9252,0.0093,0.0093
2007,121,"Buncombe","county",225609,5.36,0.9008,0.0083,0
2008,133,"Buncombe","county",227914,5.84,0.9173,0.0226,0.0075
2009,140,"Buncombe","county",230450,6.08,0.9286,0.0286,0.0071
