"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,2145,"Area L","ahec",296296,72.39,0.9492,0.0224,0.1231
2001,2183,"Area L","ahec",296584,73.6,0.9437,0.0261,0.1145
2002,2193,"Area L","ahec",298557,73.45,0.9521,0.0246,0.1304
2003,2223,"Area L","ahec",300530,73.97,0.9514,0.0292,0.1368
2004,2260,"Area L","ahec",299402,75.48,0.9478,0.031,0.1407
2005,2287,"Area L","ahec",299977,76.24,0.9502,0.0337,0.1474
2006,2345,"Area L","ahec",299459,78.31,0.9488,0.0345,0.1441
2007,2445,"Area L","ahec",299285,81.69,0.9464,0.0327,0.1513
2008,2479,"Area L","ahec",301094,82.33,0.9459,0.0319,0.1601
2009,2522,"Area L","ahec",303354,83.14,0.9449,0.0317,0.1709
2010,2565,"Area L","ahec",311268,82.4,0.9388,0.0296,0.1735
2011,2600,"Area L","ahec",309832,83.92,0.9377,0.0342,0.1692
2012,2574,"Area L","ahec",309165,83.26,0.9378,0.0361,0.1717
2013,2567,"Area L","ahec",306794,83.67,0.9342,0.0401,0.1741
2014,2641,"Area L","ahec",305841,86.35,0.9394,0.0428,0.1658
2015,2548,"Area L","ahec",303922,83.84,0.9431,0.0408,0.1735
2016,2518,"Area L","ahec",302629,83.2,0.9408,0.0473,0.1886
2017,2497,"Area L","ahec",301780,82.74,0.9387,0.0501,0.1886
2000,12931,"Charlotte","ahec",1384001,93.43,0.9464,0.0162,0.0904
2001,13284,"Charlotte","ahec",1419589,93.58,0.9429,0.0175,0.1037
2002,13353,"Charlotte","ahec",1452485,91.93,0.9451,0.0192,0.1021
2003,13674,"Charlotte","ahec",1485382,92.06,0.9457,0.0206,0.1059
2004,14010,"Charlotte","ahec",1510434,92.75,0.9448,0.0225,0.1077
2005,14533,"Charlotte","ahec",1539732,94.39,0.9445,0.0244,0.1105
2006,14553,"Charlotte","ahec",1605915,90.62,0.943,0.0249,0.1173
2007,15115,"Charlotte","ahec",1665257,90.77,0.9418,0.0275,0.122
2008,15858,"Charlotte","ahec",1701378,93.21,0.9386,0.0277,0.1259
2009,16495,"Charlotte","ahec",1732010,95.24,0.9385,0.0308,0.13
2010,16889,"Charlotte","ahec",1776565,95.07,0.9374,0.0302,0.1311
2011,17286,"Charlotte","ahec",1799166,96.08,0.9372,0.0322,0.1347
2012,17682,"Charlotte","ahec",1827256,96.77,0.935,0.0355,0.1374
2013,18136,"Charlotte","ahec",1863538,97.32,0.9332,0.0387,0.1388
2014,18192,"Charlotte","ahec",1896573,95.92,0.9324,0.0387,0.1435
2015,18247,"Charlotte","ahec",1930604,94.51,0.9324,0.036,0.1469
2016,18566,"Charlotte","ahec",1961268,94.66,0.9296,0.0368,0.1491
2017,18963,"Charlotte","ahec",1999372,94.84,0.9288,0.0414,0.1539
2000,7889,"Eastern","ahec",913210,86.39,0.9337,0.0165,0.1052
2001,8105,"Eastern","ahec",914567,88.62,0.9281,0.0202,0.1071
2002,8011,"Eastern","ahec",923021,86.79,0.9322,0.0182,0.1111
2003,8126,"Eastern","ahec",931473,87.24,0.9326,0.0194,0.1131
2004,8229,"Eastern","ahec",947271,86.87,0.9318,0.0228,0.1142
2005,8445,"Eastern","ahec",957168,88.23,0.9312,0.0251,0.115
2006,8760,"Eastern","ahec",967485,90.54,0.9299,0.0249,0.1187
2007,8965,"Eastern","ahec",1002600,89.42,0.9282,0.0273,0.1183
2008,9257,"Eastern","ahec",995121,93.02,0.926,0.0296,0.1207
2009,9629,"Eastern","ahec",1007683,95.56,0.9226,0.0331,0.1213
2010,9848,"Eastern","ahec",1035493,95.1,0.9225,0.0336,0.1238
2011,10038,"Eastern","ahec",1044211,96.13,0.9233,0.0351,0.1215
2012,10203,"Eastern","ahec",1055120,96.7,0.9228,0.0376,0.1231
2013,10460,"Eastern","ahec",1059704,98.71,0.9226,0.0403,0.1236
2014,10295,"Eastern","ahec",1060701,97.06,0.9203,0.0401,0.1272
2015,10218,"Eastern","ahec",1062244,96.19,0.9178,0.042,0.1293
2016,10263,"Eastern","ahec",1061127,96.72,0.9188,0.0431,0.1296
2017,10334,"Eastern","ahec",1064705,97.06,0.919,0.0478,0.129
2000,8977,"Greensboro","ahec",992109,90.48,0.9453,0.0216,0.1112
2001,9227,"Greensboro","ahec",1004145,91.89,0.9397,0.0186,0.1098
2002,9216,"Greensboro","ahec",1022139,90.16,0.938,0.0227,0.1153
2003,9279,"Greensboro","ahec",1040135,89.21,0.9386,0.024,0.1178
2004,9485,"Greensboro","ahec",1037038,91.46,0.9393,0.0255,0.1222
2005,9663,"Greensboro","ahec",1036988,93.18,0.9403,0.0276,0.1244
2006,10037,"Greensboro","ahec",1051795,95.43,0.9382,0.0305,0.128
2007,10287,"Greensboro","ahec",1072610,95.91,0.9375,0.0341,0.1307
2008,10618,"Greensboro","ahec",1088392,97.56,0.9373,0.0374,0.1372
2009,11101,"Greensboro","ahec",1105017,100.46,0.9353,0.0405,0.1408
2010,11456,"Greensboro","ahec",1127674,101.59,0.9352,0.0399,0.1441
2011,11677,"Greensboro","ahec",1136068,102.78,0.9319,0.0421,0.1461
2012,11956,"Greensboro","ahec",1147212,104.22,0.9292,0.0442,0.1481
2013,12252,"Greensboro","ahec",1154755,106.1,0.9278,0.0457,0.1517
2014,12168,"Greensboro","ahec",1163764,104.56,0.9234,0.0494,0.152
2015,12116,"Greensboro","ahec",1173064,103.29,0.9239,0.0512,0.1567
2016,12351,"Greensboro","ahec",1180482,104.63,0.9217,0.0542,0.1618
2017,12551,"Greensboro","ahec",1190264,105.45,0.9192,0.0581,0.1614
2000,6515,"Mountain","ahec",672306,96.91,0.9117,0.0305,0.0243
2001,6874,"Mountain","ahec",681837,100.82,0.9145,0.0243,0.0477
2002,6906,"Mountain","ahec",692197,99.77,0.9108,0.0316,0.0264
2003,7002,"Mountain","ahec",702555,99.66,0.9092,0.0368,0.025
2004,7003,"Mountain","ahec",703634,99.53,0.9076,0.0378,0.0246
2005,7120,"Mountain","ahec",709033,100.42,0.909,0.0376,0.0246
2006,7361,"Mountain","ahec",717342,102.61,0.9082,0.0443,0.0259
2007,7536,"Mountain","ahec",706233,106.71,0.907,0.0463,0.0263
2008,7735,"Mountain","ahec",732921,105.54,0.9051,0.0476,0.0274
2009,7857,"Mountain","ahec",739965,106.18,0.9011,0.0523,0.0275
2010,7981,"Mountain","ahec",761986,104.74,0.9001,0.0522,0.0292
2011,8217,"Mountain","ahec",770362,106.66,0.8951,0.0568,0.0302
2012,8354,"Mountain","ahec",769642,108.54,0.8896,0.0596,0.0304
2013,8450,"Mountain","ahec",776064,108.88,0.8888,0.0628,0.0311
2014,8486,"Mountain","ahec",781867,108.54,0.8878,0.0634,0.0316
2015,8578,"Mountain","ahec",789383,108.67,0.8844,0.0617,0.0329
2016,8662,"Mountain","ahec",799550,108.34,0.885,0.07,0.0329
2017,8790,"Mountain","ahec",807857,108.81,0.8859,0.0758,0.0329
2000,12423,"Northwest","ahec",1395832,89,0.9372,0.0201,0.0683
2001,12992,"Northwest","ahec",1416307,91.73,0.933,0.0196,0.0823
2002,12817,"Northwest","ahec",1437391,89.17,0.9348,0.0201,0.0701
2003,13109,"Northwest","ahec",1458480,89.88,0.9349,0.0214,0.0703
2004,13377,"Northwest","ahec",1459487,91.66,0.9353,0.0245,0.0738
2005,13700,"Northwest","ahec",1464768,93.53,0.9329,0.028,0.077
2006,14163,"Northwest","ahec",1484611,95.4,0.9293,0.0301,0.0782
2007,14450,"Northwest","ahec",1504826,96.02,0.9273,0.031,0.0794
2008,14844,"Northwest","ahec",1524295,97.38,0.9258,0.034,0.0816
2009,15298,"Northwest","ahec",1546737,98.9,0.9265,0.036,0.0829
2010,15458,"Northwest","ahec",1558340,99.2,0.926,0.037,0.0829
2011,15725,"Northwest","ahec",1563589,100.57,0.9238,0.0386,0.0859
2012,15952,"Northwest","ahec",1566740,101.82,0.9204,0.0417,0.0874
2013,16227,"Northwest","ahec",1571258,103.27,0.9195,0.045,0.087
2014,16179,"Northwest","ahec",1579059,102.46,0.9188,0.0447,0.0865
2015,16349,"Northwest","ahec",1586703,103.04,0.9153,0.0439,0.0873
2016,16474,"Northwest","ahec",1598199,103.08,0.9144,0.0478,0.087
2017,16604,"Northwest","ahec",1610400,103.1,0.9118,0.0514,0.088
2000,3286,"South East","ahec",378344,86.85,0.9419,0.032,0.0648
2001,3418,"South East","ahec",387182,88.28,0.9348,0.0263,0.0787
2002,3626,"South East","ahec",395768,91.62,0.9302,0.032,0.0629
2003,3681,"South East","ahec",404351,91.03,0.931,0.0361,0.0614
2004,3770,"South East","ahec",408125,92.37,0.9334,0.0408,0.0663
2005,3847,"South East","ahec",418333,91.96,0.9319,0.0424,0.0665
2006,3973,"South East","ahec",435180,91.3,0.9323,0.044,0.0644
2007,4028,"South East","ahec",447385,90.03,0.9332,0.0439,0.065
2008,4061,"South East","ahec",455190,89.22,0.9325,0.0463,0.067
2009,4115,"South East","ahec",464312,88.63,0.9312,0.0498,0.0663
2010,4220,"South East","ahec",481052,87.72,0.9334,0.0521,0.0659
2011,4308,"South East","ahec",487484,88.37,0.9322,0.052,0.0655
2012,4436,"South East","ahec",494872,89.64,0.9328,0.0597,0.064
2013,4590,"South East","ahec",502936,91.26,0.9303,0.0667,0.0643
2014,4647,"South East","ahec",509080,91.28,0.9305,0.0648,0.0639
2015,4673,"South East","ahec",518781,90.08,0.9279,0.0616,0.0663
2016,4832,"South East","ahec",527596,91.59,0.9265,0.0728,0.0681
2017,5040,"South East","ahec",536440,93.95,0.9236,0.0792,0.0673
2000,5513,"Southern Regional","ahec",800743,68.85,0.9365,0.0243,0.1565
2001,5506,"Southern Regional","ahec",805745,68.33,0.9337,0.0209,0.146
2002,5456,"Southern Regional","ahec",819180,66.6,0.9307,0.0211,0.1695
2003,5569,"Southern Regional","ahec",832613,66.89,0.9334,0.0223,0.1715
2004,5580,"Southern Regional","ahec",836143,66.73,0.9367,0.0247,0.179
2005,5666,"Southern Regional","ahec",842634,67.24,0.9361,0.027,0.1807
2006,5812,"Southern Regional","ahec",844402,68.83,0.9331,0.0282,0.1874
2007,6039,"Southern Regional","ahec",856935,70.47,0.9328,0.0305,0.2017
2008,6224,"Southern Regional","ahec",868197,71.69,0.9303,0.0323,0.2097
2009,6519,"Southern Regional","ahec",879444,74.13,0.9314,0.0324,0.2186
2010,6668,"Southern Regional","ahec",888443,75.05,0.934,0.0346,0.2241
2011,6844,"Southern Regional","ahec",900751,75.98,0.9334,0.0365,0.2249
2012,6923,"Southern Regional","ahec",909169,76.15,0.9334,0.0386,0.2289
2013,7072,"Southern Regional","ahec",914274,77.35,0.9306,0.0416,0.2313
2014,7076,"Southern Regional","ahec",913874,77.43,0.9288,0.0427,0.2333
2015,7149,"Southern Regional","ahec",915808,78.06,0.9285,0.0448,0.2423
2016,7183,"Southern Regional","ahec",918447,78.21,0.9283,0.0479,0.2502
2017,7264,"Southern Regional","ahec",921525,78.83,0.9272,0.0496,0.2541
2000,12742,"Wake AHEC","ahec",1216472,104.75,0.931,0.0139,0.1338
2001,13201,"Wake AHEC","ahec",1261899,104.61,0.9277,0.0189,0.1236
2002,13393,"Wake AHEC","ahec",1296091,103.33,0.9287,0.0156,0.1411
2003,13671,"Wake AHEC","ahec",1330283,102.77,0.9307,0.0159,0.1448
2004,13941,"Wake AHEC","ahec",1360676,102.46,0.9298,0.0197,0.1445
2005,14574,"Wake AHEC","ahec",1395041,104.47,0.928,0.0229,0.1439
2006,15299,"Wake AHEC","ahec",1454152,105.21,0.9272,0.0262,0.1473
2007,15955,"Wake AHEC","ahec",1514267,105.36,0.9257,0.0278,0.1519
2008,16667,"Wake AHEC","ahec",1560428,106.81,0.9242,0.031,0.1549
2009,17394,"Wake AHEC","ahec",1604088,108.44,0.9241,0.0325,0.1561
2010,18048,"Wake AHEC","ahec",1631633,110.61,0.922,0.0342,0.1574
2011,18640,"Wake AHEC","ahec",1657781,112.44,0.9192,0.0369,0.1619
2012,19142,"Wake AHEC","ahec",1686053,113.53,0.9189,0.0396,0.1647
2013,19857,"Wake AHEC","ahec",1712629,115.94,0.9152,0.0451,0.1633
2014,20050,"Wake AHEC","ahec",1742928,115.04,0.9133,0.0453,0.1678
2015,20256,"Wake AHEC","ahec",1776174,114.04,0.9113,0.0431,0.1708
2016,20721,"Wake AHEC","ahec",1806644,114.69,0.9114,0.0452,0.173
2017,21382,"Wake AHEC","ahec",1840349,116.18,0.9116,0.0501,0.1777
2000,776,"Alamance","county",130800,59.33,0.9575,0.0258,0.0812
2001,853,"Alamance","county",133598,63.85,0.9437,0.0176,0.0961
2002,806,"Alamance","county",136034,59.25,0.9578,0.0223,0.098
2003,809,"Alamance","county",138471,58.42,0.9629,0.021,0.0939
2004,798,"Alamance","county",138754,57.51,0.9599,0.0288,0.0977
2005,806,"Alamance","county",138788,58.07,0.9603,0.0347,0.0968
2006,855,"Alamance","county",139786,61.16,0.9462,0.0456,0.0877
2007,913,"Alamance","county",143154,63.78,0.9496,0.0482,0.1008
2008,967,"Alamance","county",146025,66.22,0.9483,0.0517,0.1107
2009,1049,"Alamance","county",148361,70.71,0.9485,0.0458,0.122
2010,1054,"Alamance","county",151745,69.46,0.9554,0.0503,0.1252
2011,1045,"Alamance","county",152531,68.51,0.9474,0.0565,0.1273
2012,1100,"Alamance","county",153029,71.88,0.9382,0.06,0.1318
2013,1119,"Alamance","county",153595,72.85,0.9392,0.0554,0.1305
2014,1142,"Alamance","county",155789,73.3,0.9457,0.0552,0.1278
2015,1158,"Alamance","county",157522,73.51,0.9465,0.057,0.1468
2016,1143,"Alamance","county",159054,71.86,0.9449,0.0586,0.1496
2017,1156,"Alamance","county",161076,71.77,0.9334,0.0657,0.1514
2000,100,"Alexander","county",33603,29.76,0.93,0.05,0.04
2001,124,"Alexander","county",33961,36.51,0.9274,0,0.0645
2002,79,"Alexander","county",34626,22.82,0.9747,0.0253,0.0506
2003,77,"Alexander","county",35292,21.82,0.9481,0.026,0.0519
2004,87,"Alexander","county",35165,24.74,0.931,0.0345,0.023
2005,105,"Alexander","county",35545,29.54,0.9619,0.0476,0.0667
2006,118,"Alexander","county",36296,32.51,0.9407,0.0508,0.0508
2007,125,"Alexander","county",36656,34.1,0.912,0.048,0.04
