"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,85,"Area L","ahec",296296,2.87,0.7765,0.0118,0.0471
2001,91,"Area L","ahec",296584,3.07,0.7473,0.011,0.0769
2002,93,"Area L","ahec",298557,3.11,0.8065,0,0.0538
2003,83,"Area L","ahec",300530,2.76,0.8072,0,0.0602
2004,85,"Area L","ahec",299402,2.84,0.8471,0,0.0706
2005,86,"Area L","ahec",299977,2.87,0.814,0,0.093
2006,84,"Area L","ahec",299459,2.81,0.7976,0,0.0833
2007,86,"Area L","ahec",299285,2.87,0.7791,0.0116,0.0698
2008,90,"Area L","ahec",301094,2.99,0.8,0.0111,0.0667
2009,100,"Area L","ahec",303354,3.3,0.74,0,0.09
2010,100,"Area L","ahec",311268,3.21,0.75,0.01,0.09
2011,100,"Area L","ahec",309832,3.23,0.72,0.03,0.07
2012,97,"Area L","ahec",309165,3.14,0.7526,0.0309,0.0515
2013,98,"Area L","ahec",306794,3.19,0.7653,0.0306,0.0612
2014,116,"Area L","ahec",305841,3.79,0.6897,0.0259,0.1121
2015,125,"Area L","ahec",303922,4.11,0.672,0.024,0.096
2016,118,"Area L","ahec",302629,3.9,0.678,0.0339,0.0932
2017,119,"Area L","ahec",301780,3.94,0.6975,0.042,0.1008
2000,455,"Charlotte","ahec",1384001,3.29,0.7802,0,0.0396
2001,494,"Charlotte","ahec",1419589,3.48,0.7794,0.002,0.0547
2002,531,"Charlotte","ahec",1452485,3.66,0.8041,0.0075,0.0584
2003,525,"Charlotte","ahec",1485382,3.53,0.7962,0,0.0514
2004,601,"Charlotte","ahec",1510434,3.98,0.7903,0.005,0.0549
2005,631,"Charlotte","ahec",1539732,4.1,0.7797,0.0063,0.0586
2006,693,"Charlotte","ahec",1605915,4.32,0.7893,0.0101,0.062
2007,794,"Charlotte","ahec",1665257,4.77,0.7834,0.0113,0.0579
2008,881,"Charlotte","ahec",1701378,5.18,0.7764,0.0125,0.0568
2009,903,"Charlotte","ahec",1732010,5.21,0.7863,0.0155,0.0554
2010,975,"Charlotte","ahec",1776565,5.49,0.7764,0.0164,0.0544
2011,1034,"Charlotte","ahec",1799166,5.75,0.765,0.0174,0.0687
2012,1022,"Charlotte","ahec",1827256,5.59,0.7701,0.0147,0.0714
2013,1005,"Charlotte","ahec",1863538,5.39,0.7662,0.0219,0.0687
2014,1099,"Charlotte","ahec",1896573,5.79,0.7634,0.0118,0.0855
2015,1161,"Charlotte","ahec",1930604,6.01,0.7709,0.0172,0.087
2016,1213,"Charlotte","ahec",1961268,6.18,0.7576,0.0206,0.0791
2017,1316,"Charlotte","ahec",1999372,6.58,0.7386,0.0152,0.0859
2000,269,"Eastern","ahec",913210,2.95,0.7658,0.0074,0.026
2001,288,"Eastern","ahec",914567,3.15,0.7674,0.0104,0.0278
2002,282,"Eastern","ahec",923021,3.06,0.7589,0.0071,0.039
2003,301,"Eastern","ahec",931473,3.23,0.7641,0.0133,0.0299
2004,302,"Eastern","ahec",947271,3.19,0.7583,0.0166,0.043
2005,316,"Eastern","ahec",957168,3.3,0.7563,0.0127,0.0443
2006,332,"Eastern","ahec",967485,3.43,0.741,0.009,0.0422
2007,337,"Eastern","ahec",1002600,3.36,0.7478,0.0059,0.0445
2008,387,"Eastern","ahec",995121,3.89,0.7494,0.0078,0.0568
2009,399,"Eastern","ahec",1007683,3.96,0.7469,0.015,0.0551
2010,419,"Eastern","ahec",1035493,4.05,0.7303,0.0239,0.0621
2011,424,"Eastern","ahec",1044211,4.06,0.7123,0.0212,0.059
2012,437,"Eastern","ahec",1055120,4.14,0.7368,0.0229,0.0549
2013,446,"Eastern","ahec",1059704,4.21,0.7354,0.0336,0.0538
2014,448,"Eastern","ahec",1060701,4.22,0.7031,0.0357,0.0379
2015,458,"Eastern","ahec",1062244,4.31,0.7009,0.0349,0.0262
2016,483,"Eastern","ahec",1061127,4.55,0.7039,0.0269,0.0248
2017,537,"Eastern","ahec",1064705,5.04,0.676,0.0279,0.0298
2000,406,"Greensboro","ahec",992109,4.09,0.7759,0.0099,0.0246
2001,436,"Greensboro","ahec",1004145,4.34,0.7569,0.0183,0.0321
2002,452,"Greensboro","ahec",1022139,4.42,0.7544,0.0133,0.0243
2003,446,"Greensboro","ahec",1040135,4.29,0.7646,0.0112,0.0269
2004,478,"Greensboro","ahec",1037038,4.61,0.7615,0.0146,0.0188
2005,496,"Greensboro","ahec",1036988,4.78,0.746,0.0141,0.0181
2006,540,"Greensboro","ahec",1051795,5.13,0.7519,0.0148,0.0204
2007,552,"Greensboro","ahec",1072610,5.15,0.7264,0.0199,0.0272
2008,605,"Greensboro","ahec",1088392,5.56,0.7339,0.0215,0.0298
2009,615,"Greensboro","ahec",1105017,5.57,0.7301,0.0244,0.0309
2010,636,"Greensboro","ahec",1127674,5.64,0.7327,0.0346,0.0346
2011,658,"Greensboro","ahec",1136068,5.79,0.728,0.041,0.041
2012,672,"Greensboro","ahec",1147212,5.86,0.7188,0.0372,0.0432
2013,673,"Greensboro","ahec",1154755,5.83,0.7132,0.0431,0.0431
2014,742,"Greensboro","ahec",1163764,6.38,0.7156,0.0377,0.0431
2015,743,"Greensboro","ahec",1173064,6.33,0.7066,0.0458,0.0431
2016,778,"Greensboro","ahec",1180482,6.59,0.7134,0.0476,0.0437
2017,798,"Greensboro","ahec",1190264,6.7,0.6992,0.0401,0.0414
2000,296,"Mountain","ahec",672306,4.4,0.6419,0.0304,0.0034
2001,344,"Mountain","ahec",681837,5.05,0.6424,0.032,0.0058
2002,347,"Mountain","ahec",692197,5.01,0.6427,0.0231,0.0115
2003,374,"Mountain","ahec",702555,5.32,0.6711,0.0214,0.0134
2004,387,"Mountain","ahec",703634,5.5,0.6873,0.0207,0.0078
2005,406,"Mountain","ahec",709033,5.73,0.6921,0.0222,0.0099
2006,425,"Mountain","ahec",717342,5.92,0.68,0.0235,0.0071
2007,424,"Mountain","ahec",706233,6,0.7028,0.0142,0.0024
2008,480,"Mountain","ahec",732921,6.55,0.7104,0.0167,0.0063
2009,497,"Mountain","ahec",739965,6.72,0.7123,0.0241,0.006
2010,511,"Mountain","ahec",761986,6.71,0.7221,0.0352,0.0078
2011,545,"Mountain","ahec",770362,7.07,0.7248,0.033,0.0055
2012,560,"Mountain","ahec",769642,7.28,0.7304,0.0393,0.0089
2013,565,"Mountain","ahec",776064,7.28,0.7274,0.0425,0.0124
2014,591,"Mountain","ahec",781867,7.56,0.6684,0.0355,0.0118
2015,609,"Mountain","ahec",789383,7.71,0.6552,0.0378,0.0181
2016,654,"Mountain","ahec",799550,8.18,0.6376,0.0428,0.0153
2017,705,"Mountain","ahec",807857,8.73,0.644,0.0454,0.0156
2000,465,"Northwest","ahec",1395832,3.33,0.7376,0.0086,0.0258
2001,507,"Northwest","ahec",1416307,3.58,0.7199,0.0118,0.0316
2002,531,"Northwest","ahec",1437391,3.69,0.7232,0.0113,0.0339
2003,528,"Northwest","ahec",1458480,3.62,0.7102,0.0076,0.0341
2004,553,"Northwest","ahec",1459487,3.79,0.7342,0.0072,0.0344
2005,573,"Northwest","ahec",1464768,3.91,0.726,0.0105,0.0332
2006,597,"Northwest","ahec",1484611,4.02,0.7353,0.0168,0.0318
2007,627,"Northwest","ahec",1504826,4.17,0.7432,0.0112,0.0303
2008,657,"Northwest","ahec",1524295,4.31,0.7412,0.0183,0.0365
2009,679,"Northwest","ahec",1546737,4.39,0.7305,0.028,0.0383
2010,698,"Northwest","ahec",1558340,4.48,0.735,0.0287,0.0415
2011,711,"Northwest","ahec",1563589,4.55,0.7496,0.0267,0.0352
2012,712,"Northwest","ahec",1566740,4.54,0.7444,0.0267,0.0351
2013,727,"Northwest","ahec",1571258,4.63,0.7345,0.0358,0.0371
2014,764,"Northwest","ahec",1579059,4.84,0.7264,0.0288,0.0497
2015,814,"Northwest","ahec",1586703,5.13,0.7174,0.0332,0.043
2016,863,"Northwest","ahec",1598199,5.4,0.7138,0.0371,0.0498
2017,915,"Northwest","ahec",1610400,5.68,0.7071,0.0361,0.0525
2000,138,"South East","ahec",378344,3.65,0.7899,0,0.029
2001,154,"South East","ahec",387182,3.98,0.7857,0,0.026
2002,179,"South East","ahec",395768,4.52,0.7933,0.0056,0.0279
2003,184,"South East","ahec",404351,4.55,0.788,0,0.0326
2004,201,"South East","ahec",408125,4.92,0.7562,0.005,0.0299
2005,203,"South East","ahec",418333,4.85,0.7389,0.0049,0.0345
2006,212,"South East","ahec",435180,4.87,0.7358,0.0047,0.0377
2007,234,"South East","ahec",447385,5.23,0.7564,0,0.0342
2008,254,"South East","ahec",455190,5.58,0.748,0,0.0315
2009,266,"South East","ahec",464312,5.73,0.7293,0,0.0301
2010,276,"South East","ahec",481052,5.74,0.7283,0.0036,0.0399
2011,286,"South East","ahec",487484,5.87,0.7308,0.007,0.035
2012,287,"South East","ahec",494872,5.8,0.7178,0.007,0.0348
2013,284,"South East","ahec",502936,5.65,0.7324,0.0211,0.0317
2014,319,"South East","ahec",509080,6.27,0.7053,0.0188,0.0282
2015,332,"South East","ahec",518781,6.4,0.7048,0.0151,0.0331
2016,355,"South East","ahec",527596,6.73,0.6986,0.0169,0.0366
2017,375,"South East","ahec",536440,6.99,0.6907,0.0213,0.0347
2000,194,"Southern Regional","ahec",800743,2.42,0.7216,0.0052,0.0876
2001,214,"Southern Regional","ahec",805745,2.66,0.7336,0.0093,0.0888
2002,220,"Southern Regional","ahec",819180,2.69,0.7545,0.0045,0.0909
2003,220,"Southern Regional","ahec",832613,2.64,0.7682,0.0045,0.1
2004,226,"Southern Regional","ahec",836143,2.7,0.7389,0.0044,0.115
2005,234,"Southern Regional","ahec",842634,2.78,0.7564,0,0.1197
2006,248,"Southern Regional","ahec",844402,2.94,0.75,0.0081,0.1089
2007,255,"Southern Regional","ahec",856935,2.98,0.749,0.0157,0.098
2008,286,"Southern Regional","ahec",868197,3.29,0.7413,0.021,0.1014
2009,296,"Southern Regional","ahec",879444,3.37,0.7466,0.0135,0.0946
2010,304,"Southern Regional","ahec",888443,3.42,0.7599,0.0164,0.0954
2011,329,"Southern Regional","ahec",900751,3.65,0.7538,0.0122,0.0912
2012,329,"Southern Regional","ahec",909169,3.62,0.7538,0.0182,0.0912
2013,347,"Southern Regional","ahec",914274,3.8,0.7464,0.0259,0.0893
2014,378,"Southern Regional","ahec",913874,4.14,0.7196,0.0265,0.0899
2015,384,"Southern Regional","ahec",915808,4.19,0.724,0.0313,0.0833
2016,436,"Southern Regional","ahec",918447,4.75,0.7133,0.0298,0.0917
2017,432,"Southern Regional","ahec",921525,4.69,0.706,0.0347,0.1065
2000,576,"Wake AHEC","ahec",1216472,4.74,0.8003,0.0052,0.0313
2001,640,"Wake AHEC","ahec",1261899,5.07,0.8078,0.0078,0.0391
2002,668,"Wake AHEC","ahec",1296091,5.15,0.7949,0.0105,0.0449
2003,686,"Wake AHEC","ahec",1330283,5.16,0.7784,0.0117,0.0408
2004,761,"Wake AHEC","ahec",1360676,5.59,0.774,0.0118,0.0447
2005,804,"Wake AHEC","ahec",1395041,5.76,0.7786,0.0075,0.0423
2006,857,"Wake AHEC","ahec",1454152,5.89,0.7736,0.0117,0.0397
2007,914,"Wake AHEC","ahec",1514267,6.04,0.7735,0.0098,0.047
2008,1003,"Wake AHEC","ahec",1560428,6.43,0.7567,0.012,0.0479
2009,1093,"Wake AHEC","ahec",1604088,6.81,0.7566,0.011,0.0485
2010,1130,"Wake AHEC","ahec",1631633,6.93,0.7575,0.0142,0.0513
2011,1156,"Wake AHEC","ahec",1657781,6.97,0.7708,0.0173,0.0528
2012,1225,"Wake AHEC","ahec",1686053,7.27,0.7698,0.022,0.0522
2013,1258,"Wake AHEC","ahec",1712629,7.35,0.7758,0.031,0.0509
2014,1370,"Wake AHEC","ahec",1742928,7.86,0.762,0.0146,0.0569
2015,1432,"Wake AHEC","ahec",1776174,8.06,0.7542,0.0189,0.0587
2016,1520,"Wake AHEC","ahec",1806644,8.41,0.7349,0.0217,0.0566
2017,1619,"Wake AHEC","ahec",1840349,8.8,0.7375,0.0229,0.0605
2000,63,"Alamance","county",130800,4.82,0.6984,0.0159,0
2001,61,"Alamance","county",133598,4.57,0.7869,0.0328,0
2002,68,"Alamance","county",136034,5,0.75,0.0147,0
2003,66,"Alamance","county",138471,4.77,0.7879,0,0.0152
2004,65,"Alamance","county",138754,4.68,0.7385,0,0
2005,66,"Alamance","county",138788,4.76,0.7121,0.0152,0
2006,70,"Alamance","county",139786,5.01,0.7286,0.0143,0
2007,73,"Alamance","county",143154,5.1,0.6986,0.0411,0
2008,86,"Alamance","county",146025,5.89,0.686,0.0349,0.0116
2009,92,"Alamance","county",148361,6.2,0.7283,0.0326,0.0109
2010,99,"Alamance","county",151745,6.52,0.7475,0.0303,0.0202
2011,89,"Alamance","county",152531,5.83,0.7191,0.0225,0.0449
2012,93,"Alamance","county",153029,6.08,0.7204,0.0108,0.043
2013,93,"Alamance","county",153595,6.05,0.7097,0.0323,0.0323
2014,100,"Alamance","county",155789,6.42,0.69,0.05,0.03
2015,94,"Alamance","county",157522,5.97,0.6596,0.0532,0.0106
2016,97,"Alamance","county",159054,6.1,0.6495,0.0309,0.0103
2017,109,"Alamance","county",161076,6.77,0.6422,0.0275,0.0183
2000,4,"Alexander","county",33603,1.19,-9,-9,-9
2001,5,"Alexander","county",33961,1.47,0.6,0,0
2002,4,"Alexander","county",34626,1.16,-9,-9,-9
2003,4,"Alexander","county",35292,1.13,-9,-9,-9
2004,3,"Alexander","county",35165,0.85,-9,-9,-9
2005,3,"Alexander","county",35545,0.84,-9,-9,-9
2006,3,"Alexander","county",36296,0.83,-9,-9,-9
2007,3,"Alexander","county",36656,0.82,-9,-9,-9
2008,4,"Alexander","county",36957,1.08,-9,-9,-9
2009,2,"Alexander","county",37318,0.54,-9,-9,-9
2010,4,"Alexander","county",37254,1.07,-9,-9,-9
2011,3,"Alexander","county",37528,0.8,-9,-9,-9
2012,2,"Alexander","county",37389,0.53,-9,-9,-9
2013,5,"Alexander","county",37436,1.34,0.2,0,0
2014,3,"Alexander","county",37832,0.79,-9,-9,-9
2015,4,"Alexander","county",37952,1.05,-9,-9,-9
2016,4,"Alexander","county",38284,1.04,-9,-9,-9
2017,6,"Alexander","county",38452,1.56,0.5,0,0
2000,2,"Alleghany","county",10677,1.87,-9,-9,-9
2001,3,"Alleghany","county",10754,2.79,-9,-9,-9
2002,3,"Alleghany","county",10866,2.76,-9,-9,-9
2003,3,"Alleghany","county",10978,2.73,-9,-9,-9
2004,3,"Alleghany","county",10912,2.75,-9,-9,-9
2005,2,"Alleghany","county",10913,1.83,-9,-9,-9
2006,2,"Alleghany","county",11000,1.82,-9,-9,-9
2007,2,"Alleghany","county",11088,1.8,-9,-9,-9
2008,2,"Alleghany","county",11075,1.81,-9,-9,-9
2009,2,"Alleghany","county",11227,1.78,-9,-9,-9
2010,2,"Alleghany","county",11171,1.79,-9,-9,-9
2011,2,"Alleghany","county",11069,1.81,-9,-9,-9
2012,1,"Alleghany","county",10971,0.91,-9,-9,-9
2013,3,"Alleghany","county",11052,2.71,-9,-9,-9
2014,2,"Alleghany","county",11099,1.8,-9,-9,-9
2015,3,"Alleghany","county",11190,2.68,-9,-9,-9
2016,2,"Alleghany","county",11202,1.79,-9,-9,-9
2017,4,"Alleghany","county",11233,3.56,-9,-9,-9
2000,1,"Anson","county",25275,0.4,-9,-9,-9
2001,0,"Anson","county",25323,0,-9,-9,-9
2002,1,"Anson","county",25496,0.39,-9,-9,-9
2003,1,"Anson","county",25671,0.39,-9,-9,-9
2004,3,"Anson","county",25384,1.18,-9,-9,-9
2005,5,"Anson","county",25848,1.93,0.4,0,0
2006,4,"Anson","county",25372,1.58,-9,-9,-9
2007,4,"Anson","county",25332,1.58,-9,-9,-9
2008,6,"Anson","county",25368,2.37,0.6667,0,0
2009,7,"Anson","county",25193,2.78,0.8571,0,0
2010,8,"Anson","county",26973,2.97,0.875,0,0
2011,7,"Anson","county",25822,2.71,0.8571,0,0
2012,7,"Anson","county",26626,2.63,0.8571,0,0
2013,6,"Anson","county",26318,2.28,0.8333,0,0
2014,7,"Anson","county",26468,2.64,0.7143,0,0.2857
2015,5,"Anson","county",26155,1.91,0.6,0,0.4
2016,6,"Anson","county",25628,2.34,0.6667,0,0.3333
2017,5,"Anson","county",25626,1.95,0.4,0,0.4
2000,7,"Ashe","county",24384,2.87,0.7143,0,0
2001,7,"Ashe","county",24799,2.82,0.8571,0,0
2002,8,"Ashe","county",24970,3.2,0.75,0,0
2003,8,"Ashe","county",25142,3.18,0.625,0,0
2004,5,"Ashe","county",25320,1.97,0.8,0,0
2005,5,"Ashe","county",25279,1.98,0.8,0,0
2006,7,"Ashe","county",25778,2.72,0.8571,0,0
2007,8,"Ashe","county",26003,3.08,1,0,0
2008,8,"Ashe","county",26325,3.04,1,0,0
2009,9,"Ashe","county",26498,3.4,1,0.1111,0
2010,9,"Ashe","county",27378,3.29,1,0.1111,0
2011,8,"Ashe","county",27423,2.92,1,0.125,0
2012,9,"Ashe","county",27361,3.29,0.8889,0.1111,0
2013,9,"Ashe","county",27434,3.28,0.8889,0.1111,0
2014,9,"Ashe","county",27448,3.28,1,0.2222,0
2015,10,"Ashe","county",27332,3.66,0.9,0.2,0
2016,11,"Ashe","county",27344,4.02,0.9091,0.1818,0
2017,12,"Ashe","county",27218,4.41,0.8333,0.25,0
2000,5,"Avery","county",17167,2.91,0.8,0,0
2001,5,"Avery","county",17706,2.82,0.8,0,0
2002,6,"Avery","county",17844,3.36,0.8333,0,0
2003,7,"Avery","county",17980,3.89,0.8571,0,0
2004,7,"Avery","county",18221,3.84,0.5714,0,0
2005,7,"Avery","county",18195,3.85,0.5714,0,0
2006,8,"Avery","county",18174,4.4,0.5,0,0
2007,7,"Avery","county",18292,3.83,0.5714,0,0
2008,7,"Avery","county",18429,3.8,0.5714,0,0
2009,7,"Avery","county",18301,3.82,0.5714,0.1429,0
2010,7,"Avery","county",17812,3.93,0.5714,0.1429,0
2011,7,"Avery","county",17834,3.93,0.7143,0.1429,0
2012,4,"Avery","county",17764,2.25,-9,-9,-9
2013,4,"Avery","county",17872,2.24,-9,-9,-9
2014,7,"Avery","county",17895,3.91,0.4286,0,0
