"year","total","region","type","population","providerRate","percentFemale","percentAge","percentUnderrepresented"
2000,88,"Area L","ahec",296296,2.97,0.1136,0.0682,0.125
2001,78,"Area L","ahec",296584,2.63,0.1026,0.0641,0.1154
2002,82,"Area L","ahec",298557,2.75,0.1098,0.0854,0.1098
2003,82,"Area L","ahec",300530,2.73,0.1098,0.1098,0.122
2004,85,"Area L","ahec",299402,2.84,0.1294,0.1176,0.1059
2005,90,"Area L","ahec",299977,3,0.1444,0.1222,0.1
2006,88,"Area L","ahec",299459,2.94,0.1591,0.1136,0.1023
2007,88,"Area L","ahec",299285,2.94,0.1932,0.1136,0.125
2008,83,"Area L","ahec",301094,2.76,0.1807,0.0964,0.0964
2009,87,"Area L","ahec",303354,2.87,0.1954,0.1149,0.1149
2010,84,"Area L","ahec",311268,2.7,0.2024,0.119,0.1071
2011,86,"Area L","ahec",309832,2.78,0.1977,0.1163,0.093
2012,93,"Area L","ahec",309165,3.01,0.2258,0.1398,0.1183
2013,96,"Area L","ahec",306794,3.13,0.2396,0.1771,0.1042
2014,94,"Area L","ahec",305841,3.07,0.2447,0.1702,0.0957
2015,92,"Area L","ahec",303922,3.03,0.2717,0.1522,0.1196
2016,93,"Area L","ahec",302629,3.07,0.3011,0.1398,0.086
2017,91,"Area L","ahec",301780,3.02,0.2857,0.1319,0.0659
2000,609,"Charlotte","ahec",1384001,4.4,0.1379,0.0722,0.0591
2001,638,"Charlotte","ahec",1419589,4.49,0.1458,0.0815,0.0643
2002,658,"Charlotte","ahec",1452485,4.53,0.1444,0.0866,0.0714
2003,660,"Charlotte","ahec",1485382,4.44,0.1697,0.0773,0.0788
2004,699,"Charlotte","ahec",1510434,4.63,0.1817,0.083,0.0801
2005,732,"Charlotte","ahec",1539732,4.75,0.1981,0.0833,0.0861
2006,759,"Charlotte","ahec",1605915,4.73,0.2055,0.083,0.0909
2007,789,"Charlotte","ahec",1665257,4.74,0.2091,0.0925,0.0976
2008,807,"Charlotte","ahec",1701378,4.74,0.2119,0.0917,0.1066
2009,828,"Charlotte","ahec",1732010,4.78,0.2186,0.0882,0.1111
2010,864,"Charlotte","ahec",1776565,4.86,0.235,0.1065,0.1227
2011,869,"Charlotte","ahec",1799166,4.83,0.2463,0.1013,0.1254
2012,910,"Charlotte","ahec",1827256,4.98,0.2571,0.122,0.1297
2013,927,"Charlotte","ahec",1863538,4.97,0.2686,0.1219,0.1338
2014,955,"Charlotte","ahec",1896573,5.04,0.2796,0.1215,0.1403
2015,1004,"Charlotte","ahec",1930604,5.2,0.2948,0.1175,0.1434
2016,1030,"Charlotte","ahec",1961268,5.25,0.2951,0.1049,0.1456
2017,1079,"Charlotte","ahec",1999372,5.4,0.3114,0.1047,0.1492
2000,313,"Eastern","ahec",913210,3.43,0.1214,0.099,0.0735
2001,311,"Eastern","ahec",914567,3.4,0.1158,0.119,0.0804
2002,323,"Eastern","ahec",923021,3.5,0.1269,0.1238,0.0743
2003,317,"Eastern","ahec",931473,3.4,0.1293,0.1293,0.0757
2004,337,"Eastern","ahec",947271,3.56,0.1424,0.1335,0.089
2005,355,"Eastern","ahec",957168,3.71,0.1521,0.1408,0.0873
2006,361,"Eastern","ahec",967485,3.73,0.1607,0.1274,0.0886
2007,359,"Eastern","ahec",1002600,3.58,0.1616,0.1226,0.0836
2008,363,"Eastern","ahec",995121,3.65,0.1763,0.1433,0.1019
2009,376,"Eastern","ahec",1007683,3.73,0.1862,0.1463,0.0957
2010,370,"Eastern","ahec",1035493,3.57,0.1784,0.1459,0.0892
2011,376,"Eastern","ahec",1044211,3.6,0.1862,0.1356,0.0851
2012,394,"Eastern","ahec",1055120,3.73,0.198,0.1726,0.0964
2013,412,"Eastern","ahec",1059704,3.89,0.2063,0.1796,0.0947
2014,413,"Eastern","ahec",1060701,3.89,0.2131,0.1768,0.092
2015,432,"Eastern","ahec",1062244,4.07,0.25,0.1736,0.0856
2016,451,"Eastern","ahec",1061127,4.25,0.2594,0.1774,0.0909
2017,454,"Eastern","ahec",1064705,4.26,0.2533,0.2093,0.0881
2000,484,"Greensboro","ahec",992109,4.88,0.1921,0.0682,0.0785
2001,509,"Greensboro","ahec",1004145,5.07,0.2024,0.0845,0.0747
2002,488,"Greensboro","ahec",1022139,4.77,0.1926,0.0881,0.0779
2003,497,"Greensboro","ahec",1040135,4.78,0.1972,0.0905,0.0865
2004,522,"Greensboro","ahec",1037038,5.03,0.2146,0.0862,0.0862
2005,523,"Greensboro","ahec",1036988,5.04,0.2275,0.0937,0.0956
2006,528,"Greensboro","ahec",1051795,5.02,0.2292,0.0928,0.0928
2007,538,"Greensboro","ahec",1072610,5.02,0.2528,0.0874,0.1059
2008,588,"Greensboro","ahec",1088392,5.4,0.2755,0.0765,0.1122
2009,593,"Greensboro","ahec",1105017,5.37,0.2799,0.0961,0.1164
2010,601,"Greensboro","ahec",1127674,5.33,0.2812,0.0998,0.1181
2011,592,"Greensboro","ahec",1136068,5.21,0.2872,0.1047,0.1166
2012,625,"Greensboro","ahec",1147212,5.45,0.2864,0.1296,0.12
2013,627,"Greensboro","ahec",1154755,5.43,0.2791,0.1499,0.1244
2014,665,"Greensboro","ahec",1163764,5.71,0.3113,0.1489,0.1338
2015,663,"Greensboro","ahec",1173064,5.65,0.3183,0.1614,0.1448
2016,664,"Greensboro","ahec",1180482,5.62,0.3283,0.1627,0.1536
2017,697,"Greensboro","ahec",1190264,5.86,0.3329,0.1693,0.1435
2000,265,"Mountain","ahec",672306,3.94,0.1132,0.0906,0.0264
2001,265,"Mountain","ahec",681837,3.89,0.1094,0.0981,0.0189
