"year","total","region","type","population","providerRate"
2011,54,"Area L","ahec",309832,1.74
2012,58,"Area L","ahec",309165,1.88
2013,47,"Area L","ahec",306794,1.53
2014,59,"Area L","ahec",305841,1.93
2015,59,"Area L","ahec",303922,1.94
2016,61,"Area L","ahec",302629,2.02
2017,63,"Area L","ahec",301780,2.09
2011,220,"Charlotte","ahec",1799166,1.22
2012,253,"Charlotte","ahec",1827256,1.38
2013,253,"Charlotte","ahec",1863538,1.36
2014,303,"Charlotte","ahec",1896573,1.6
2015,324,"Charlotte","ahec",1930604,1.68
2016,343,"Charlotte","ahec",1961268,1.75
2017,360,"Charlotte","ahec",1999372,1.8
2011,175,"Eastern","ahec",1044211,1.68
2012,185,"Eastern","ahec",1055120,1.75
2013,190,"Eastern","ahec",1059704,1.79
2014,225,"Eastern","ahec",1060701,2.12
2015,239,"Eastern","ahec",1062244,2.25
2016,238,"Eastern","ahec",1061127,2.24
2017,229,"Eastern","ahec",1064705,2.15
2011,137,"Greensboro","ahec",1136068,1.21
2012,139,"Greensboro","ahec",1147212,1.21
2013,159,"Greensboro","ahec",1154755,1.38
2014,175,"Greensboro","ahec",1163764,1.5
2015,199,"Greensboro","ahec",1173064,1.7
2016,199,"Greensboro","ahec",1180482,1.69
2017,192,"Greensboro","ahec",1190264,1.61
2011,120,"Mountain","ahec",770362,1.56
2012,133,"Mountain","ahec",769642,1.73
2013,129,"Mountain","ahec",776064,1.66
2014,152,"Mountain","ahec",781867,1.94
2015,177,"Mountain","ahec",789383,2.24
2016,196,"Mountain","ahec",799550,2.45
2017,193,"Mountain","ahec",807857,2.39
2011,265,"Northwest","ahec",1563589,1.69
2012,260,"Northwest","ahec",1566740,1.66
2013,296,"Northwest","ahec",1571258,1.88
2014,329,"Northwest","ahec",1579059,2.08
2015,360,"Northwest","ahec",1586703,2.27
2016,399,"Northwest","ahec",1598199,2.5
2017,405,"Northwest","ahec",1610400,2.51
2011,105,"South East","ahec",487484,2.15
2012,104,"South East","ahec",494872,2.1
2013,107,"South East","ahec",502936,2.13
2014,133,"South East","ahec",509080,2.61
2015,141,"South East","ahec",518781,2.72
2016,150,"South East","ahec",527596,2.84
2017,144,"South East","ahec",536440,2.68
2011,246,"Southern Regional","ahec",900751,2.73
2012,263,"Southern Regional","ahec",909169,2.89
2013,203,"Southern Regional","ahec",914274,2.22
2014,268,"Southern Regional","ahec",913874,2.93
2015,242,"Southern Regional","ahec",915808,2.64
2016,250,"Southern Regional","ahec",918447,2.72
2017,282,"Southern Regional","ahec",921525,3.06
2011,294,"Wake AHEC","ahec",1657781,1.77
2012,324,"Wake AHEC","ahec",1686053,1.92
2013,309,"Wake AHEC","ahec",1712629,1.8
2014,379,"Wake AHEC","ahec",1742928,2.17
