"year","total","region","type","population","providerRate"
2011,25,"Area L","ahec",309832,0.81
2012,22,"Area L","ahec",309165,0.71
2013,19,"Area L","ahec",306794,0.62
2014,23,"Area L","ahec",305841,0.75
2015,27,"Area L","ahec",303922,0.89
2016,28,"Area L","ahec",302629,0.93
2017,28,"Area L","ahec",301780,0.93
2011,235,"Charlotte","ahec",1799166,1.31
2012,245,"Charlotte","ahec",1827256,1.34
2013,249,"Charlotte","ahec",1863538,1.34
2014,264,"Charlotte","ahec",1896573,1.39
2015,273,"Charlotte","ahec",1930604,1.41
2016,279,"Charlotte","ahec",1961268,1.42
2017,289,"Charlotte","ahec",1999372,1.45
2011,137,"Eastern","ahec",1044211,1.31
2012,133,"Eastern","ahec",1055120,1.26
2013,143,"Eastern","ahec",1059704,1.35
2014,147,"Eastern","ahec",1060701,1.39
2015,147,"Eastern","ahec",1062244,1.38
2016,155,"Eastern","ahec",1061127,1.46
2017,156,"Eastern","ahec",1064705,1.47
2011,117,"Greensboro","ahec",1136068,1.03
2012,116,"Greensboro","ahec",1147212,1.01
2013,115,"Greensboro","ahec",1154755,1
2014,128,"Greensboro","ahec",1163764,1.1
2015,128,"Greensboro","ahec",1173064,1.09
2016,152,"Greensboro","ahec",1180482,1.29
2017,157,"Greensboro","ahec",1190264,1.32
2011,95,"Mountain","ahec",770362,1.23
2012,93,"Mountain","ahec",769642,1.21
2013,88,"Mountain","ahec",776064,1.13
2014,111,"Mountain","ahec",781867,1.42
2015,116,"Mountain","ahec",789383,1.47
2016,121,"Mountain","ahec",799550,1.51
2017,126,"Mountain","ahec",807857,1.56
2011,177,"Northwest","ahec",1563589,1.13
2012,184,"Northwest","ahec",1566740,1.17
2013,178,"Northwest","ahec",1571258,1.13
2014,199,"Northwest","ahec",1579059,1.26
2015,215,"Northwest","ahec",1586703,1.36
2016,209,"Northwest","ahec",1598199,1.31
2017,232,"Northwest","ahec",1610400,1.44
2011,57,"South East","ahec",487484,1.17
2012,55,"South East","ahec",494872,1.11
2013,48,"South East","ahec",502936,0.95
2014,56,"South East","ahec",509080,1.1
2015,59,"South East","ahec",518781,1.14
2016,59,"South East","ahec",527596,1.12
2017,69,"South East","ahec",536440,1.29
